Physician_ID,AttendingPhysician
143,PHY339784
144,PHY336996
145,PHY321417
146,PHY378227
147,PHY362418
148,PHY398814
149,PHY379142
150,PHY385253
151,PHY430594
152,PHY395923
153,PHY313315
154,PHY329707
155,PHY327407
156,PHY391231
157,PHY361109
158,PHY359453
159,PHY389680
160,PHY393811
161,PHY347117
162,PHY327695
163,PHY315482
164,PHY396077
165,PHY311816
166,PHY341953
167,PHY341395
168,PHY375241
169,PHY339207
170,PHY382621
171,PHY418771
172,PHY395822
173,PHY420091
174,PHY343046
175,PHY336926
176,PHY353793
177,PHY418957
178,PHY411906
179,PHY400092
180,PHY377902
181,PHY318667
182,PHY311285
183,PHY400399
184,PHY341655
185,PHY397133
186,PHY386513
187,PHY414564
188,PHY341211
189,PHY319070
190,PHY347590
191,PHY395503
192,PHY350731
193,PHY317665
194,PHY338753
195,PHY313157
196,PHY324990
197,PHY344373
198,PHY361948
199,PHY430789
200,PHY339941
201,PHY370737
202,PHY362903
203,PHY371712
204,PHY433487
205,PHY423848
206,PHY427489
207,PHY398524
208,PHY347483
209,PHY415856
210,PHY410422
211,PHY324491
212,PHY370324
213,PHY367268
214,PHY391972
215,PHY345234
216,PHY327046
217,PHY359673
218,PHY405488
219,PHY311788
220,PHY357307
221,PHY394938
222,PHY394082
223,PHY365749
224,PHY367777
225,PHY324327
226,PHY347088
227,PHY339203
228,PHY350277
229,PHY409100
230,PHY358078
231,PHY432927
232,PHY363849
233,PHY323522
234,PHY358494
235,PHY412442
236,PHY393922
237,PHY318287
238,PHY345776
239,PHY341828
240,PHY368661
241,PHY379737
242,PHY351910
243,PHY409119
244,PHY329600
245,PHY433374
246,PHY344257
247,PHY425887
248,PHY312504
249,PHY432769
250,PHY318029
251,PHY430497
252,PHY417590
253,PHY345000
254,PHY398227
255,PHY316032
256,PHY345497
257,PHY388040
258,PHY408482
259,PHY432238
260,PHY414264
261,PHY364792
262,PHY428301
263,PHY421902
264,PHY318381
265,PHY416831
266,PHY396305
267,PHY400589
268,PHY368232
269,PHY427154
270,PHY399380
271,PHY330339
272,PHY425420
273,PHY381381
274,PHY350551
275,PHY337457
276,PHY377389
277,PHY429775
278,PHY427001
279,PHY401786
280,PHY358945
281,PHY374079
282,PHY352589
283,PHY354167
284,PHY408317
285,PHY359255
286,PHY373876
287,PHY326281
288,PHY400807
289,PHY331663
290,PHY362625
291,PHY429875
292,PHY341080
293,PHY427822
294,PHY349874
295,PHY353553
296,PHY410214
297,PHY343295
298,PHY375112
299,PHY347297
300,PHY368573
301,PHY388267
302,PHY408726
303,PHY364927
304,PHY328347
305,PHY371579
306,PHY364755
307,PHY357302
308,PHY396767
309,PHY315010
310,PHY312596
311,PHY404772
312,PHY422210
313,PHY356571
314,PHY347585
315,PHY366532
316,PHY337362
317,PHY356932
318,PHY383481
319,PHY347925
320,PHY352555
321,PHY384948
322,PHY347948
323,PHY317982
324,PHY429078
325,PHY329052
326,PHY400422
327,PHY388798
328,PHY410597
329,PHY383336
330,PHY346840
331,PHY422181
332,PHY371179
333,PHY432565
334,PHY404881
335,PHY393280
336,PHY426591
337,PHY343985
338,PHY377234
339,PHY415025
340,PHY313675
341,PHY383446
342,PHY428634
343,PHY323543
344,PHY389933
345,PHY347943
346,PHY339781
347,PHY345164
348,PHY378732
349,PHY321185
350,PHY413581
351,PHY423534
352,PHY419779
353,PHY314027
354,PHY366589
355,PHY429080
356,PHY406201
357,PHY345552
358,PHY348301
359,PHY342457
360,PHY344322
361,PHY312034
362,PHY339339
363,PHY416865
364,PHY359744
365,PHY412830
366,PHY386240
367,PHY325656
368,PHY416497
369,PHY397930
370,PHY432163
371,PHY313586
372,PHY332777
373,PHY330656
374,PHY389712
375,PHY321576
376,PHY331347
377,PHY330601
378,PHY406872
379,PHY342936
380,PHY338199
381,PHY350478
382,PHY373949
383,PHY406370
384,PHY404352
385,PHY344869
386,PHY333674
387,PHY340832
388,PHY419290
389,PHY412508
390,PHY381949
391,PHY414802
392,PHY411449
393,PHY339685
394,PHY431177
395,PHY383264
396,PHY430885
397,PHY431694
398,PHY322184
399,PHY423392
400,PHY355134
401,PHY352756
402,PHY311343
403,PHY353584
404,PHY410149
405,PHY318886
406,PHY394939
407,PHY414118
408,PHY354801
409,PHY402251
410,PHY392424
411,PHY349420
412,PHY418984
413,PHY376914
414,PHY328895
415,PHY380757
416,PHY328402
417,PHY341452
418,PHY359290
419,PHY372922
420,PHY365827
421,PHY413899
422,PHY429887
423,PHY369502
424,PHY380666
425,PHY417361
426,PHY388193
427,PHY413658
428,PHY429055
429,PHY325936
430,PHY370467
431,PHY429194
432,PHY432295
433,PHY383223
434,PHY430090
435,PHY342906
436,PHY316594
437,PHY385030
438,PHY320581
439,PHY385136
440,PHY427210
441,PHY373572
442,PHY352698
443,PHY354337
444,PHY339699
445,PHY349491
446,PHY424249
447,PHY355256
448,PHY321679
449,PHY323063
450,PHY363737
451,PHY374681
452,PHY333454
453,PHY422532
454,PHY313599
455,PHY356104
456,PHY363992
457,PHY421888
458,PHY409836
459,PHY429296
460,PHY387053
461,PHY396117
462,PHY407961
463,PHY346413
464,PHY348473
465,PHY335622
466,PHY369804
467,PHY426628
468,PHY359164
469,PHY406209
470,PHY368396
471,PHY321347
472,PHY391454
473,PHY348450
474,PHY312425
475,PHY390393
476,PHY350923
477,PHY407121
478,PHY360647
479,PHY393521
480,PHY398389
481,PHY343207
482,PHY396783
483,PHY327244
484,PHY397991
485,PHY349485
486,PHY391800
487,PHY377712
488,PHY327096
489,PHY416493
490,PHY334665
491,PHY354343
492,PHY342369
493,PHY322330
494,PHY332993
495,PHY364422
496,PHY373165
497,PHY385045
498,PHY344967
499,PHY348307
500,PHY360244
501,PHY410427
502,PHY339042
503,PHY426886
504,PHY403478
505,PHY319087
506,PHY350070
507,PHY348046
508,PHY349351
509,PHY362979
510,PHY408544
511,PHY312274
512,PHY399336
513,PHY365265
514,PHY413916
515,PHY416229
516,PHY408810
517,PHY428254
518,PHY360622
519,PHY395483
520,PHY406323
521,PHY417596
522,PHY320313
523,PHY426406
524,PHY338524
525,PHY353698
526,PHY415330
527,PHY334243
528,PHY351002
529,PHY396813
530,PHY343240
531,PHY430604
532,PHY391746
533,PHY319342
534,PHY325102
535,PHY318058
536,PHY415414
537,PHY379167
538,PHY413124
539,PHY395925
540,PHY412513
541,PHY334789
542,PHY402294
543,PHY349909
544,PHY312560
545,PHY350765
546,PHY363227
547,PHY326732
548,PHY433510
549,PHY415086
550,PHY339445
551,PHY388482
552,PHY348535
553,PHY387395
554,PHY384200
555,PHY374565
556,PHY391892
557,PHY366560
558,PHY330576
559,PHY353878
560,PHY359221
561,PHY351121
562,PHY333597
563,PHY325029
564,PHY381660
565,PHY328677
566,PHY416709
567,PHY343114
568,PHY324757
569,PHY315703
570,PHY359368
571,PHY346872
572,PHY417126
573,PHY384638
574,PHY425123
575,PHY324819
576,PHY316333
577,PHY397169
578,PHY375910
579,PHY384066
580,PHY433329
581,PHY392231
582,PHY354655
583,PHY371413
584,PHY339799
585,PHY378315
586,PHY384668
587,PHY328950
588,PHY428858
589,PHY389942
590,PHY312428
591,PHY328763
592,PHY400783
593,PHY380502
594,PHY428062
595,PHY365868
596,PHY333646
597,PHY319745
598,PHY330437
599,PHY375044
600,PHY326624
601,PHY429195
602,PHY419420
603,PHY418531
604,PHY387235
605,PHY374189
606,PHY400742
607,PHY359573
608,PHY423059
609,PHY413509
610,PHY377709
611,PHY366658
612,PHY427881
613,PHY422043
614,PHY379247
615,PHY323132
616,PHY429420
617,PHY412092
618,PHY425959
619,PHY432650
620,PHY376343
621,PHY323501
622,PHY340328
623,PHY311067
624,PHY384272
625,PHY424985
626,PHY420288
627,PHY394143
628,PHY422954
629,PHY405457
630,PHY430083
631,PHY333891
632,PHY371071
633,PHY393995
634,PHY426404
635,PHY392327
636,PHY315974
637,PHY395080
638,PHY314768
639,PHY368674
640,PHY397283
641,PHY338780
642,PHY380785
643,PHY320357
644,PHY373423
645,PHY389156
646,PHY375728
647,PHY423877
648,PHY391413
649,PHY388025
650,PHY350524
651,PHY335146
652,PHY403682
653,PHY322048
654,PHY321288
655,PHY418910
656,PHY363761
657,PHY383555
658,PHY384321
659,PHY312236
660,PHY344093
661,PHY378506
662,PHY373630
663,PHY342324
664,PHY409418
665,PHY420625
666,PHY362370
667,PHY382747
668,PHY376184
669,PHY419512
670,PHY332608
671,PHY344772
672,PHY396257
673,PHY400550
674,PHY311407
675,PHY386076
676,PHY402056
677,PHY402522
678,PHY324753
679,PHY338065
680,PHY425559
681,PHY362203
682,PHY330444
683,PHY363575
684,PHY315638
685,PHY399455
686,PHY423988
687,PHY402002
688,PHY416204
689,PHY433419
690,PHY403710
691,PHY337978
692,PHY379662
693,PHY433461
694,PHY338234
695,PHY353756
696,PHY316798
697,PHY369247
698,PHY411052
699,PHY380787
700,PHY414278
701,PHY365349
702,PHY362965
703,PHY380132
704,PHY384975
705,PHY387900
706,PHY430054
707,PHY365399
708,PHY314237
709,PHY396496
710,PHY315715
711,PHY404717
712,PHY419443
713,PHY349419
714,PHY316911
715,PHY370741
716,PHY348872
717,PHY433956
718,PHY388358
719,PHY402355
720,PHY332586
721,PHY367925
722,PHY398676
723,PHY425793
724,PHY364094
725,PHY316159
726,PHY423941
727,PHY322681
728,PHY342851
729,PHY397506
730,PHY343331
731,PHY393943
732,PHY423627
733,PHY342375
734,PHY409965
735,PHY375975
736,PHY352479
737,PHY427303
738,PHY433859
739,PHY375141
740,PHY405937
741,PHY384893
742,PHY353253
743,PHY401912
744,PHY333917
745,PHY417212
746,PHY334992
747,PHY339153
748,PHY410752
749,PHY407989
750,PHY312130
751,PHY402457
752,PHY321245
753,PHY421606
754,PHY325351
755,PHY335361
756,PHY375969
757,PHY372048
758,PHY346309
759,PHY398141
760,PHY368961
761,PHY423304
762,PHY403641
763,PHY314142
764,PHY314056
765,PHY404394
766,PHY336986
767,PHY388964
768,PHY347369
769,PHY333331
770,PHY356432
771,PHY319063
772,PHY392690
773,PHY345190
774,PHY373688
775,PHY320861
776,PHY313319
777,PHY416220
778,PHY339073
779,PHY383534
780,PHY349300
781,PHY394745
782,PHY380840
783,PHY391941
784,PHY389456
785,PHY351111
786,PHY340158
787,PHY431923
788,PHY348243
789,PHY372645
790,PHY356172
791,PHY411989
792,PHY333152
793,PHY394274
794,PHY405650
795,PHY366633
796,PHY349224
797,PHY416193
798,PHY317872
799,PHY372137
800,PHY353003
801,PHY351668
802,PHY421763
803,PHY420544
804,PHY409699
805,PHY365799
806,PHY313396
807,PHY338272
808,PHY385396
809,PHY382568
810,PHY396953
811,PHY424703
812,PHY367204
813,PHY401145
814,PHY335375
815,PHY429095
816,PHY349647
817,PHY357656
818,PHY427301
819,PHY354554
820,PHY426708
821,PHY397861
822,PHY418522
823,PHY376662
824,PHY327386
825,PHY423641
826,PHY403516
827,PHY340021
828,PHY393040
829,PHY330845
830,PHY400672
831,PHY379800
832,PHY361063
833,PHY375943
834,PHY346657
835,PHY422221
836,PHY370075
837,PHY382012
838,PHY316285
839,PHY356051
840,PHY368882
841,PHY396617
842,PHY412566
843,PHY353097
844,PHY333735
845,PHY389719
846,PHY431039
847,PHY417201
848,PHY318447
849,PHY393816
850,PHY424454
851,PHY408595
852,PHY346243
853,PHY427523
854,PHY321484
855,PHY319973
856,PHY388567
857,PHY338134
858,PHY405131
859,PHY388886
860,PHY359939
861,PHY320341
862,PHY385550
863,PHY345038
864,PHY391675
865,PHY378799
866,PHY425776
867,PHY312780
868,PHY423833
869,PHY332198
870,PHY320707
871,PHY406867
872,PHY320439
873,PHY319349
874,PHY324059
875,PHY392623
876,PHY327580
877,PHY400446
878,PHY375219
879,PHY409844
880,PHY323447
881,PHY387126
882,PHY412132
883,PHY340634
884,PHY315682
885,PHY344053
886,PHY415080
887,PHY354511
888,PHY352546
889,PHY332386
890,PHY422380
891,PHY320309
892,PHY413582
893,PHY422717
894,PHY315700
895,PHY419538
896,PHY335850
897,PHY346809
898,PHY375355
899,PHY367634
900,PHY342820
901,PHY405720
902,PHY322468
903,PHY326549
904,PHY423585
905,PHY354224
906,PHY339709
907,PHY372455
908,PHY424209
909,PHY384865
910,PHY365285
911,PHY319206
912,PHY426509
913,PHY347425
914,PHY424712
915,PHY358414
916,PHY378899
917,PHY396473
918,PHY350526
919,PHY335335
920,PHY323473
921,PHY348284
922,PHY402326
923,PHY433664
924,PHY336856
925,PHY388540
926,PHY378824
927,PHY372904
928,PHY420203
929,PHY313493
930,PHY424272
931,PHY360764
932,PHY400373
933,PHY421969
934,PHY325000
935,PHY395484
936,PHY426224
937,PHY376511
938,PHY399574
939,PHY315287
940,PHY328307
941,PHY390120
942,PHY338169
943,PHY396179
944,PHY394119
945,PHY380852
946,PHY330784
947,PHY373516
948,PHY373205
949,PHY324754
950,PHY391511
951,PHY373236
952,PHY432213
953,PHY398501
954,PHY353048
955,PHY426179
956,PHY352687
957,PHY412023
958,PHY354799
959,PHY339661
960,PHY331948
961,PHY365436
962,PHY314563
963,PHY406669
964,PHY406849
965,PHY423648
966,PHY378110
967,PHY401007
968,PHY370573
969,PHY388549
970,PHY380551
971,PHY342963
972,PHY395736
973,PHY334069
974,PHY385693
975,PHY338861
976,PHY321356
977,PHY409080
978,PHY382901
979,PHY389516
980,PHY366694
981,PHY417045
982,PHY373335
983,PHY368751
984,PHY431837
985,PHY395922
986,PHY364126
987,PHY387685
988,PHY381478
989,PHY382960
990,PHY357108
991,PHY326470
992,PHY372200
993,PHY341825
994,PHY362200
995,PHY327610
996,PHY414602
997,PHY418867
998,PHY421154
999,PHY318956
1000,PHY415313
1001,PHY326637
1002,PHY381560
1003,PHY318506
1004,PHY361903
1005,PHY344589
1006,PHY383020
1007,PHY413022
1008,PHY317466
1009,PHY390213
1010,PHY347296
1011,PHY368443
1012,PHY332704
1013,PHY353114
1014,PHY388477
1015,PHY418815
1016,PHY332706
1017,PHY319174
1018,PHY416794
1019,PHY397703
1020,PHY329913
1021,PHY421539
1022,PHY356027
1023,PHY339355
1024,PHY353225
1025,PHY339481
1026,PHY338968
1027,PHY402772
1028,PHY314754
1029,PHY326071
1030,PHY379945
1031,PHY353780
1032,PHY343722
1033,PHY398050
1034,PHY382285
1035,PHY381896
1036,PHY417040
1037,PHY352488
1038,PHY352248
1039,PHY371896
1040,PHY418664
1041,PHY399381
1042,PHY422388
1043,PHY402084
1044,PHY329774
1045,PHY409187
1046,PHY353911
1047,PHY385474
1048,PHY398277
1049,PHY360773
1050,PHY403755
1051,PHY326413
1052,PHY407400
1053,PHY423756
1054,PHY413952
1055,PHY412121
1056,PHY372267
1057,PHY335776
1058,PHY334613
1059,PHY431136
1060,PHY373731
1061,PHY426843
1062,PHY338038
1063,PHY375509
1064,PHY337089
1065,PHY433724
1066,PHY313127
1067,PHY370768
1068,PHY341671
1069,PHY367162
1070,PHY399399
1071,PHY393344
1072,PHY325716
1073,PHY379636
1074,PHY384189
1075,PHY354192
1076,PHY400274
1077,PHY326888
1078,PHY321000
1079,PHY363032
1080,PHY339155
1081,PHY376744
1082,PHY381343
1083,PHY385221
1084,PHY347573
1085,PHY392157
1086,PHY429735
1087,PHY326720
1088,PHY342223
1089,PHY324500
1090,PHY365693
1091,PHY344583
1092,PHY348928
1093,PHY412827
1094,PHY313028
1095,PHY346282
1096,PHY334417
1097,PHY393341
1098,PHY353045
1099,PHY375506
1100,PHY422056
1101,PHY396750
1102,PHY331541
1103,PHY320740
1104,PHY355786
1105,PHY382022
1106,PHY383283
1107,PHY423154
1108,PHY347834
1109,PHY432438
1110,PHY411005
1111,PHY353823
1112,PHY386996
1113,PHY393334
1114,PHY400039
1115,PHY378541
1116,PHY331418
1117,PHY348616
1118,PHY337576
1119,PHY334125
1120,PHY366930
1121,PHY417345
1122,PHY375267
1123,PHY346385
1124,PHY329234
1125,PHY349260
1126,PHY315036
1127,PHY345766
1128,PHY430397
1129,PHY400473
1130,PHY420603
1131,PHY350635
1132,PHY352299
1133,PHY356709
1134,PHY337580
1135,PHY404570
1136,PHY352753
1137,PHY366909
1138,PHY325328
1139,PHY371145
1140,PHY344389
1141,PHY381893
1142,PHY337276
1143,PHY411611
1144,PHY370842
1145,PHY415546
1146,PHY338565
1147,PHY333636
1148,PHY402362
1149,PHY337425
1150,PHY398444
1151,PHY392884
1152,PHY341578
1153,PHY412342
1154,PHY314482
1155,PHY355102
1156,PHY385282
1157,PHY317185
1158,PHY358696
1159,PHY389419
1160,PHY347097
1161,PHY407040
1162,PHY316221
1163,PHY324497
1164,PHY431888
1165,PHY419974
1166,PHY399463
1167,PHY365427
1168,PHY374305
1169,PHY375251
1170,PHY315428
1171,PHY408090
1172,PHY376062
1173,PHY399147
1174,PHY364082
1175,PHY329089
1176,PHY361771
1177,PHY396282
1178,PHY323241
1179,PHY359540
1180,PHY366891
1181,PHY433357
1182,PHY318756
1183,PHY338588
1184,PHY381919
1185,PHY333840
1186,PHY403042
1187,PHY316536
1188,PHY422817
1189,PHY380625
1190,PHY401228
1191,PHY376963
1192,PHY412906
1193,PHY418434
1194,PHY424276
1195,PHY420323
1196,PHY414843
1197,PHY392136
1198,PHY416840
1199,PHY419950
1200,PHY390243
1201,PHY404169
1202,PHY377766
1203,PHY368630
1204,PHY363335
1205,PHY347026
1206,PHY338208
1207,PHY425795
1208,PHY349545
1209,PHY357501
1210,PHY421058
1211,PHY369431
1212,PHY429749
1213,PHY405253
1214,PHY334527
1215,PHY427070
1216,PHY320280
1217,PHY381364
1218,PHY427167
1219,PHY428995
1220,PHY411225
1221,PHY408943
1222,PHY371916
1223,PHY433710
1224,PHY354045
1225,PHY402499
1226,PHY396128
1227,PHY421092
1228,PHY334649
1229,PHY416953
1230,PHY361428
1231,PHY378955
1232,PHY391882
1233,PHY408802
1234,PHY397943
1235,PHY349756
1236,PHY397865
1237,PHY339530
1238,PHY340117
1239,PHY431588
1240,PHY322497
1241,PHY344090
1242,PHY328582
1243,PHY425388
1244,PHY409298
1245,PHY422853
1246,PHY340290
1247,PHY397350
1248,PHY345269
1249,PHY393846
1250,PHY349210
1251,PHY404025
1252,PHY394049
1253,PHY318623
1254,PHY339680
1255,PHY405669
1256,PHY342359
1257,PHY346171
1258,PHY320702
1259,PHY426339
1260,PHY397407
1261,PHY355639
1262,PHY380883
1263,PHY401174
1264,PHY387290
1265,PHY392037
1266,PHY339878
1267,PHY311313
1268,PHY386703
1269,PHY398108
1270,PHY406880
1271,PHY432870
1272,PHY393856
1273,PHY386816
1274,PHY331093
1275,PHY377177
1276,PHY349558
1277,PHY367823
1278,PHY409335
1279,PHY425815
1280,PHY382175
1281,PHY392168
1282,PHY355468
1283,PHY326062
1284,PHY429501
1285,PHY358070
1286,PHY389574
1287,PHY346057
1288,PHY370342
1289,PHY338690
1290,PHY402412
1291,PHY315806
1292,PHY333980
1293,PHY313266
1294,PHY405165
1295,PHY321506
1296,PHY321770
1297,PHY384222
1298,PHY374630
1299,PHY317439
1300,PHY403179
1301,PHY356192
1302,PHY332412
1303,PHY355329
1304,PHY416422
1305,PHY334053
1306,PHY385898
1307,PHY330830
1308,PHY429147
1309,PHY347629
1310,PHY341082
1311,PHY355366
1312,PHY382394
1313,PHY357741
1314,PHY414323
1315,PHY327709
1316,PHY313485
1317,PHY360985
1318,PHY430465
1319,PHY379674
1320,PHY367887
1321,PHY359860
1322,PHY358274
1323,PHY401462
1324,PHY334944
1325,PHY348103
1326,PHY351463
1327,PHY352256
1328,PHY370158
1329,PHY362201
1330,PHY328853
1331,PHY390594
1332,PHY393605
1333,PHY358732
1334,PHY410770
1335,PHY335428
1336,PHY356154
1337,PHY384674
1338,PHY321977
1339,PHY316000
1340,PHY362262
1341,PHY313204
1342,PHY422895
1343,PHY416449
1344,PHY398888
1345,PHY351580
1346,PHY418163
1347,PHY425221
1348,PHY384405
1349,PHY399161
1350,PHY342065
1351,PHY316611
1352,PHY350839
1353,PHY332588
1354,PHY363918
1355,PHY355653
1356,PHY357800
1357,PHY407936
1358,PHY315439
1359,PHY373682
1360,PHY337437
1361,PHY322729
1362,PHY337213
1363,PHY378484
1364,PHY427126
1365,PHY341190
1366,PHY424570
1367,PHY333580
1368,PHY426565
1369,PHY376057
1370,PHY401599
1371,PHY333221
1372,PHY335354
1373,PHY365540
1374,PHY351544
1375,PHY366293
1376,PHY364238
1377,PHY349287
1378,PHY356896
1379,PHY319230
1380,PHY358543
1381,PHY347104
1382,PHY316310
1383,PHY420905
1384,PHY399303
1385,PHY344635
1386,PHY327631
1387,PHY313191
1388,PHY391796
1389,PHY398134
1390,PHY344920
1391,PHY330361
1392,PHY335828
1393,PHY408561
1394,PHY375392
1395,PHY413785
1396,PHY326223
1397,PHY386547
1398,PHY381277
1399,PHY365902
1400,PHY408589
1401,PHY380813
1402,PHY411970
1403,PHY381963
1404,PHY375931
1405,PHY433754
1406,PHY388144
1407,PHY328699
1408,PHY322586
1409,PHY380963
1410,PHY359916
1411,PHY335165
1412,PHY374196
1413,PHY328070
1414,PHY390875
1415,PHY340298
1416,PHY423980
1417,PHY375209
1418,PHY374270
1419,PHY316941
1420,PHY416685
1421,PHY402941
1422,PHY373528
1423,PHY381967
1424,PHY399628
1425,PHY386469
1426,PHY356865
1427,PHY311291
1428,PHY399029
1429,PHY346768
1430,PHY405838
1431,PHY346756
1432,PHY342116
1433,PHY424424
1434,PHY390757
1435,PHY406645
1436,PHY347496
1437,PHY321514
1438,PHY348265
1439,PHY353551
1440,PHY378637
1441,PHY323481
1442,PHY373646
1443,PHY411977
1444,PHY427150
1445,PHY395103
1446,PHY403751
1447,PHY401283
1448,PHY381020
1449,PHY349818
1450,PHY372535
1451,PHY329189
1452,PHY390285
1453,PHY381529
1454,PHY387710
1455,PHY395027
1456,PHY312231
1457,PHY394144
1458,PHY393668
1459,PHY382188
1460,PHY344539
1461,PHY415212
1462,PHY409629
1463,PHY389477
1464,PHY326010
1465,PHY432324
1466,PHY410308
1467,PHY403576
1468,PHY382308
1469,PHY426893
1470,PHY364025
1471,PHY411722
1472,PHY425402
1473,PHY404834
1474,PHY430215
1475,PHY411407
1476,PHY409927
1477,PHY419026
1478,PHY388600
1479,PHY364561
1480,PHY414502
1481,PHY343390
1482,PHY401624
1483,PHY433436
1484,PHY394725
1485,PHY343933
1486,PHY313818
1487,PHY357683
1488,PHY352112
1489,PHY432833
1490,PHY419108
1491,PHY409058
1492,PHY367698
1493,PHY362675
1494,PHY407004
1495,PHY344619
1496,PHY335280
1497,PHY403215
1498,PHY398953
1499,PHY330254
1500,PHY362059
1501,PHY350848
1502,PHY380224
1503,PHY419322
1504,PHY377552
1505,PHY388500
1506,PHY314423
1507,PHY361820
1508,PHY371865
1509,PHY326286
1510,PHY367158
1511,PHY374593
1512,PHY413718
1513,PHY377125
1514,PHY408301
1515,PHY325874
1516,PHY371011
1517,PHY396544
1518,PHY338077
1519,PHY376928
1520,PHY358635
1521,PHY340455
1522,PHY424939
1523,PHY332888
1524,PHY358012
1525,PHY342935
1526,PHY345379
1527,PHY378652
1528,PHY323370
1529,PHY375443
1530,PHY379934
1531,PHY421942
1532,PHY396101
1533,PHY339875
1534,PHY415052
1535,PHY318126
1536,PHY433475
1537,PHY423759
1538,PHY331578
1539,PHY346968
1540,PHY433044
1541,PHY368896
1542,PHY383692
1543,PHY415321
1544,PHY419134
1545,PHY344410
1546,PHY333835
1547,PHY376387
1548,PHY342374
1549,PHY320687
1550,PHY338866
1551,PHY386493
1552,PHY351782
1553,PHY353771
1554,PHY426359
1555,PHY348636
1556,PHY363817
1557,PHY396637
1558,PHY413781
1559,PHY323643
1560,PHY360179
1561,PHY334192
1562,PHY389399
1563,PHY364970
1564,PHY322543
1565,PHY428264
1566,PHY334319
1567,PHY334313
1568,PHY325690
1569,PHY426182
1570,PHY355871
1571,PHY397351
1572,PHY417908
1573,PHY382658
1574,PHY372812
1575,PHY387622
1576,PHY385072
1577,PHY364844
1578,PHY332284
1579,PHY430990
1580,PHY429433
1581,PHY384873
1582,PHY424469
1583,PHY323682
1584,PHY325420
1585,PHY311190
1586,PHY316474
1587,PHY332061
1588,PHY321718
1589,PHY330662
1590,PHY331636
1591,PHY337890
1592,PHY353479
1593,PHY367953
1594,PHY360043
1595,PHY412076
1596,PHY389731
1597,PHY366069
1598,PHY407877
1599,PHY433530
1600,PHY323867
1601,PHY341928
1602,PHY330265
1603,PHY340548
1604,PHY433967
1605,PHY375556
1606,PHY373076
1607,PHY376555
1608,PHY383854
1609,PHY429392
1610,PHY392955
1611,PHY365595
1612,PHY341041
1613,PHY339345
1614,PHY426424
1615,PHY358810
1616,PHY432444
1617,PHY325821
1618,PHY331295
1619,PHY410681
1620,PHY394351
1621,PHY338759
1622,PHY368454
1623,PHY410333
1624,PHY417224
1625,PHY415454
1626,PHY367441
1627,PHY428456
1628,PHY314265
1629,PHY322949
1630,PHY317025
1631,PHY424468
1632,PHY358850
1633,PHY399896
1634,PHY341982
1635,PHY374441
1636,PHY398170
1637,PHY408671
1638,PHY426218
1639,PHY356846
1640,PHY383127
1641,PHY372353
1642,PHY334132
1643,PHY374291
1644,PHY359990
1645,PHY346397
1646,PHY416314
1647,PHY379146
1648,PHY350773
1649,PHY320921
1650,PHY352400
1651,PHY341270
1652,PHY373921
1653,PHY388352
1654,PHY333329
1655,PHY388435
1656,PHY424428
1657,PHY356444
1658,PHY389143
1659,PHY396224
1660,PHY402679
1661,PHY337724
1662,PHY351998
1663,PHY424811
