AttendingPhysician_ID,AttendingPhysician
142,PHY339784
143,PHY336996
144,PHY321417
145,PHY378227
146,PHY362418
147,PHY398814
148,PHY379142
149,PHY385253
150,PHY430594
151,PHY395923
152,PHY313315
153,PHY329707
154,PHY327407
155,PHY391231
156,PHY361109
157,PHY359453
158,PHY389680
159,PHY393811
160,PHY347117
161,PHY327695
162,PHY315482
163,PHY396077
164,PHY311816
165,PHY341953
166,PHY341395
167,PHY375241
168,PHY339207
169,PHY382621
170,PHY418771
171,PHY395822
172,PHY420091
173,PHY343046
174,PHY336926
175,PHY353793
176,PHY418957
177,PHY411906
178,PHY400092
179,PHY377902
180,PHY318667
181,PHY311285
182,PHY400399
183,PHY341655
184,PHY397133
185,PHY386513
186,PHY414564
187,PHY341211
188,PHY319070
189,PHY347590
190,PHY395503
191,PHY350731
192,PHY317665
193,PHY338753
194,PHY313157
195,PHY324990
196,PHY344373
197,PHY361948
198,PHY430789
199,PHY339941
200,PHY370737
201,PHY362903
202,PHY371712
203,PHY433487
204,PHY423848
205,PHY427489
206,PHY398524
207,PHY347483
208,PHY415856
209,PHY410422
210,PHY324491
211,PHY370324
212,PHY367268
213,PHY391972
214,PHY345234
215,PHY327046
216,PHY359673
217,PHY405488
218,PHY311788
219,PHY357307
220,PHY394938
221,PHY394082
222,PHY365749
223,PHY367777
224,PHY324327
225,PHY347088
226,PHY339203
227,PHY350277
228,PHY409100
229,PHY358078
230,PHY432927
231,PHY363849
232,PHY323522
233,PHY358494
234,PHY412442
235,PHY393922
236,PHY318287
237,PHY345776
238,PHY341828
239,PHY368661
240,PHY379737
241,PHY351910
242,PHY409119
243,PHY329600
244,PHY433374
245,PHY344257
246,PHY425887
247,PHY312504
248,PHY432769
249,PHY318029
250,PHY430497
251,PHY417590
252,PHY345000
253,PHY398227
254,PHY316032
255,PHY345497
256,PHY388040
257,PHY408482
258,PHY432238
259,PHY414264
260,PHY364792
261,PHY428301
262,PHY421902
263,PHY318381
264,PHY416831
265,PHY396305
266,PHY400589
267,PHY368232
268,PHY427154
269,PHY399380
270,PHY330339
271,PHY425420
272,PHY381381
273,PHY350551
274,PHY337457
275,PHY377389
276,PHY429775
277,PHY427001
278,PHY401786
279,PHY358945
280,PHY374079
281,PHY352589
282,PHY354167
283,PHY408317
284,PHY359255
285,PHY373876
286,PHY326281
287,PHY400807
288,PHY331663
289,PHY362625
290,PHY429875
291,PHY341080
292,PHY427822
293,PHY349874
294,PHY353553
295,PHY410214
296,PHY343295
297,PHY375112
298,PHY347297
299,PHY368573
300,PHY388267
301,PHY408726
302,PHY364927
303,PHY328347
304,PHY371579
305,PHY364755
306,PHY357302
307,PHY396767
308,PHY315010
309,PHY312596
310,PHY404772
311,PHY422210
312,PHY356571
313,PHY347585
314,PHY366532
315,PHY337362
316,PHY356932
317,PHY383481
318,PHY347925
319,PHY352555
320,PHY384948
321,PHY347948
322,PHY317982
323,PHY429078
324,PHY329052
325,PHY400422
326,PHY388798
327,PHY410597
328,PHY383336
329,PHY346840
330,PHY422181
331,PHY371179
332,PHY432565
333,PHY404881
334,PHY393280
335,PHY426591
336,PHY343985
337,PHY377234
338,PHY415025
339,PHY313675
340,PHY383446
341,PHY428634
342,PHY323543
343,PHY389933
344,PHY347943
345,PHY339781
346,PHY345164
347,PHY378732
348,PHY321185
349,PHY413581
350,PHY423534
351,PHY419779
352,PHY314027
353,PHY366589
354,PHY429080
355,PHY406201
356,PHY345552
357,PHY348301
358,PHY342457
359,PHY344322
360,PHY312034
361,PHY339339
362,PHY416865
363,PHY359744
364,PHY412830
365,PHY386240
366,PHY325656
367,PHY416497
368,PHY397930
369,PHY432163
370,PHY313586
371,PHY332777
372,PHY330656
373,PHY389712
374,PHY321576
375,PHY331347
376,PHY330601
377,PHY406872
378,PHY342936
379,PHY338199
380,PHY350478
381,PHY373949
382,PHY406370
383,PHY404352
384,PHY344869
385,PHY333674
386,PHY340832
387,PHY419290
388,PHY412508
389,PHY381949
390,PHY414802
391,PHY411449
392,PHY339685
393,PHY431177
394,PHY383264
395,PHY430885
396,PHY431694
397,PHY322184
398,PHY423392
399,PHY355134
400,PHY352756
401,PHY311343
402,PHY353584
403,PHY410149
404,PHY318886
405,PHY394939
406,PHY414118
407,PHY354801
408,PHY402251
409,PHY392424
410,PHY349420
411,PHY418984
412,PHY376914
413,PHY328895
414,PHY380757
415,PHY328402
416,PHY341452
417,PHY359290
418,PHY372922
419,PHY365827
420,PHY413899
421,PHY429887
422,PHY369502
423,PHY380666
424,PHY417361
425,PHY388193
426,PHY413658
427,PHY429055
428,PHY325936
429,PHY370467
430,PHY429194
431,PHY432295
432,PHY383223
433,PHY430090
434,PHY342906
435,PHY316594
436,PHY385030
437,PHY320581
438,PHY385136
439,PHY427210
440,PHY373572
441,PHY352698
442,PHY354337
443,PHY339699
444,PHY349491
445,PHY424249
446,PHY355256
447,PHY321679
448,PHY323063
449,PHY363737
450,PHY374681
451,PHY333454
452,PHY422532
453,PHY313599
454,PHY356104
455,PHY363992
456,PHY421888
457,PHY409836
458,PHY429296
459,PHY387053
460,PHY396117
461,PHY407961
462,PHY346413
463,PHY348473
464,PHY335622
465,PHY369804
466,PHY426628
467,PHY359164
468,PHY406209
469,PHY368396
470,PHY321347
471,PHY391454
472,PHY348450
473,PHY312425
474,PHY390393
475,PHY350923
476,PHY407121
477,PHY360647
478,PHY393521
479,PHY398389
480,PHY343207
481,PHY396783
482,PHY327244
483,PHY397991
484,PHY349485
485,PHY391800
486,PHY377712
487,PHY327096
488,PHY416493
489,PHY334665
490,PHY354343
491,PHY342369
492,PHY322330
493,PHY332993
494,PHY364422
495,PHY373165
496,PHY385045
497,PHY344967
498,PHY348307
499,PHY360244
500,PHY410427
501,PHY339042
502,PHY426886
503,PHY403478
504,PHY319087
505,PHY350070
506,PHY348046
507,PHY349351
508,PHY362979
509,PHY408544
510,PHY312274
511,PHY399336
512,PHY365265
513,PHY413916
514,PHY416229
515,PHY408810
516,PHY428254
517,PHY360622
518,PHY395483
519,PHY406323
520,PHY417596
521,PHY320313
522,PHY426406
523,PHY338524
524,PHY353698
525,PHY415330
526,PHY334243
527,PHY351002
528,PHY396813
529,PHY343240
530,PHY430604
531,PHY391746
532,PHY319342
533,PHY325102
534,PHY318058
535,PHY415414
536,PHY379167
537,PHY413124
538,PHY395925
539,PHY412513
540,PHY334789
541,PHY402294
542,PHY349909
543,PHY312560
544,PHY350765
545,PHY363227
546,PHY326732
547,PHY433510
548,PHY415086
549,PHY339445
550,PHY388482
551,PHY348535
552,PHY387395
553,PHY384200
554,PHY374565
555,PHY391892
556,PHY366560
557,PHY330576
558,PHY353878
559,PHY359221
560,PHY351121
561,PHY333597
562,PHY325029
563,PHY381660
564,PHY328677
565,PHY416709
566,PHY343114
567,PHY324757
568,PHY315703
569,PHY359368
570,PHY346872
571,PHY417126
572,PHY384638
573,PHY425123
574,PHY324819
575,PHY316333
576,PHY397169
577,PHY375910
578,PHY384066
579,PHY433329
580,PHY392231
581,PHY354655
582,PHY371413
583,PHY339799
584,PHY378315
585,PHY384668
586,PHY328950
587,PHY428858
588,PHY389942
589,PHY312428
590,PHY328763
591,PHY400783
592,PHY380502
593,PHY428062
594,PHY365868
595,PHY333646
596,PHY319745
597,PHY330437
598,PHY375044
599,PHY326624
600,PHY429195
601,PHY419420
602,PHY418531
603,PHY387235
604,PHY374189
605,PHY400742
606,PHY359573
607,PHY423059
608,PHY413509
609,PHY377709
610,PHY366658
611,PHY427881
612,PHY422043
613,PHY379247
614,PHY323132
615,PHY429420
616,PHY412092
617,PHY425959
618,PHY432650
619,PHY376343
620,PHY323501
621,PHY340328
622,PHY311067
623,PHY384272
624,PHY424985
625,PHY420288
626,PHY394143
627,PHY422954
628,PHY405457
629,PHY430083
630,PHY333891
631,PHY371071
632,PHY393995
633,PHY426404
634,PHY392327
635,PHY315974
636,PHY395080
637,PHY314768
638,PHY368674
639,PHY397283
640,PHY338780
641,PHY380785
642,PHY320357
643,PHY373423
644,PHY389156
645,PHY375728
646,PHY423877
647,PHY391413
648,PHY388025
649,PHY350524
650,PHY335146
651,PHY403682
652,PHY322048
653,PHY321288
654,PHY418910
655,PHY363761
656,PHY383555
657,PHY384321
658,PHY312236
659,PHY344093
660,PHY378506
661,PHY373630
662,PHY342324
663,PHY409418
664,PHY420625
665,PHY362370
666,PHY382747
667,PHY376184
668,PHY419512
669,PHY332608
670,PHY344772
671,PHY396257
672,PHY400550
673,PHY311407
674,PHY386076
675,PHY402056
676,PHY402522
677,PHY324753
678,PHY338065
679,PHY425559
680,PHY362203
681,PHY330444
682,PHY363575
683,PHY315638
684,PHY399455
685,PHY423988
686,PHY402002
687,PHY416204
688,PHY433419
689,PHY403710
690,PHY337978
691,PHY379662
692,PHY433461
693,PHY338234
694,PHY353756
695,PHY316798
696,PHY369247
697,PHY411052
698,PHY380787
699,PHY414278
700,PHY365349
701,PHY362965
702,PHY380132
703,PHY384975
704,PHY387900
705,PHY430054
706,PHY365399
707,PHY314237
708,PHY396496
709,PHY315715
710,PHY404717
711,PHY419443
712,PHY349419
713,PHY316911
714,PHY370741
715,PHY348872
716,PHY433956
717,PHY388358
718,PHY402355
719,PHY332586
720,PHY367925
721,PHY398676
722,PHY425793
723,PHY364094
724,PHY316159
725,PHY423941
726,PHY322681
727,PHY342851
728,PHY397506
729,PHY343331
730,PHY393943
731,PHY423627
732,PHY342375
733,PHY409965
734,PHY375975
735,PHY352479
736,PHY427303
737,PHY433859
738,PHY375141
739,PHY405937
740,PHY384893
741,PHY353253
742,PHY401912
743,PHY333917
744,PHY417212
745,PHY334992
746,PHY339153
747,PHY410752
748,PHY407989
749,PHY312130
750,PHY402457
751,PHY321245
752,PHY421606
753,PHY325351
754,PHY335361
755,PHY375969
756,PHY372048
757,PHY346309
758,PHY398141
759,PHY368961
760,PHY423304
761,PHY403641
762,PHY314142
763,PHY314056
764,PHY404394
765,PHY336986
766,PHY388964
767,PHY347369
768,PHY333331
769,PHY356432
770,PHY319063
771,PHY392690
772,PHY345190
773,PHY373688
774,PHY320861
775,PHY313319
776,PHY416220
777,PHY339073
778,PHY383534
779,PHY349300
780,PHY394745
781,PHY380840
782,PHY391941
783,PHY389456
784,PHY351111
785,PHY340158
786,PHY431923
787,PHY348243
788,PHY372645
789,PHY356172
790,PHY411989
791,PHY333152
792,PHY394274
793,PHY405650
794,PHY366633
795,PHY349224
796,PHY416193
797,PHY317872
798,PHY372137
799,PHY353003
800,PHY351668
801,PHY421763
802,PHY420544
803,PHY409699
804,PHY365799
805,PHY313396
806,PHY338272
807,PHY385396
808,PHY382568
809,PHY396953
810,PHY424703
811,PHY367204
812,PHY401145
813,PHY335375
814,PHY429095
815,PHY349647
816,PHY357656
817,PHY427301
818,PHY354554
819,PHY426708
820,PHY397861
821,PHY418522
822,PHY376662
823,PHY327386
824,PHY423641
825,PHY403516
826,PHY340021
827,PHY393040
828,PHY330845
829,PHY400672
830,PHY379800
831,PHY361063
832,PHY375943
833,PHY346657
834,PHY422221
835,PHY370075
836,PHY382012
837,PHY316285
838,PHY356051
839,PHY368882
840,PHY396617
841,PHY412566
842,PHY353097
843,PHY333735
844,PHY389719
845,PHY431039
846,PHY417201
847,PHY318447
848,PHY393816
849,PHY424454
850,PHY408595
851,PHY346243
852,PHY427523
853,PHY321484
854,PHY319973
855,PHY388567
856,PHY338134
857,PHY405131
858,PHY388886
859,PHY359939
860,PHY320341
861,PHY385550
862,PHY345038
863,PHY391675
864,PHY378799
865,PHY425776
866,PHY312780
867,PHY423833
868,PHY332198
869,PHY320707
870,PHY406867
871,PHY320439
872,PHY319349
873,PHY324059
874,PHY392623
875,PHY327580
876,PHY400446
877,PHY375219
878,PHY409844
879,PHY323447
880,PHY387126
881,PHY412132
882,PHY340634
883,PHY315682
884,PHY344053
885,PHY415080
886,PHY354511
887,PHY352546
888,PHY332386
889,PHY422380
890,PHY320309
891,PHY413582
892,PHY422717
893,PHY315700
894,PHY419538
895,PHY335850
896,PHY346809
897,PHY375355
898,PHY367634
899,PHY342820
900,PHY405720
901,PHY322468
902,PHY326549
903,PHY423585
904,PHY354224
905,PHY339709
906,PHY372455
907,PHY424209
908,PHY384865
909,PHY365285
910,PHY319206
911,PHY426509
912,PHY347425
913,PHY424712
914,PHY358414
915,PHY378899
916,PHY396473
917,PHY350526
918,PHY335335
919,PHY323473
920,PHY348284
921,PHY402326
922,PHY433664
923,PHY336856
924,PHY388540
925,PHY378824
926,PHY372904
927,PHY420203
928,PHY313493
929,PHY424272
930,PHY360764
931,PHY400373
932,PHY421969
933,PHY325000
934,PHY395484
935,PHY426224
936,PHY376511
937,PHY399574
938,PHY315287
939,PHY328307
940,PHY390120
941,PHY338169
942,PHY396179
943,PHY394119
944,PHY380852
945,PHY330784
946,PHY373516
947,PHY373205
948,PHY324754
949,PHY391511
950,PHY373236
951,PHY432213
952,PHY398501
953,PHY353048
954,PHY426179
955,PHY352687
956,PHY412023
957,PHY354799
958,PHY339661
959,PHY331948
960,PHY365436
961,PHY314563
962,PHY406669
963,PHY406849
964,PHY423648
965,PHY378110
966,PHY401007
967,PHY370573
968,PHY388549
969,PHY380551
970,PHY342963
971,PHY395736
972,PHY334069
973,PHY385693
974,PHY338861
975,PHY321356
976,PHY409080
977,PHY382901
978,PHY389516
979,PHY366694
980,PHY417045
981,PHY373335
982,PHY368751
983,PHY431837
984,PHY395922
985,PHY364126
986,PHY387685
987,PHY381478
988,PHY382960
989,PHY357108
990,PHY326470
991,PHY372200
992,PHY341825
993,PHY362200
994,PHY327610
995,PHY414602
996,PHY418867
997,PHY421154
998,PHY318956
999,PHY415313
1000,PHY326637
1001,PHY381560
1002,PHY318506
1003,PHY361903
1004,PHY344589
1005,PHY383020
1006,PHY413022
1007,PHY317466
1008,PHY390213
1009,PHY347296
1010,PHY368443
1011,PHY332704
1012,PHY353114
1013,PHY388477
1014,PHY418815
1015,PHY332706
1016,PHY319174
1017,PHY416794
1018,PHY397703
1019,PHY329913
1020,PHY421539
1021,PHY356027
1022,PHY339355
1023,PHY353225
1024,PHY339481
1025,PHY338968
1026,PHY402772
1027,PHY314754
1028,PHY326071
1029,PHY379945
1030,PHY353780
1031,PHY343722
1032,PHY398050
1033,PHY382285
1034,PHY381896
1035,PHY417040
1036,PHY352488
1037,PHY352248
1038,PHY371896
1039,PHY418664
1040,PHY399381
1041,PHY422388
1042,PHY402084
1043,PHY329774
1044,PHY409187
1045,PHY353911
1046,PHY385474
1047,PHY398277
1048,PHY360773
1049,PHY403755
1050,PHY326413
1051,PHY407400
1052,PHY423756
1053,PHY413952
1054,PHY412121
1055,PHY372267
1056,PHY335776
1057,PHY334613
1058,PHY431136
1059,PHY373731
1060,PHY426843
1061,PHY338038
1062,PHY375509
1063,PHY337089
1064,PHY433724
1065,PHY313127
1066,PHY370768
1067,PHY341671
1068,PHY367162
1069,PHY399399
1070,PHY393344
1071,PHY325716
1072,PHY379636
1073,PHY384189
1074,PHY354192
1075,PHY400274
1076,PHY326888
1077,PHY321000
1078,PHY363032
1079,PHY339155
1080,PHY376744
1081,PHY381343
1082,PHY385221
1083,PHY347573
1084,PHY392157
1085,PHY429735
1086,PHY326720
1087,PHY342223
1088,PHY324500
1089,PHY365693
1090,PHY344583
1091,PHY348928
1092,PHY412827
1093,PHY313028
1094,PHY346282
1095,PHY334417
1096,PHY393341
1097,PHY353045
1098,PHY375506
1099,PHY422056
1100,PHY396750
1101,PHY331541
1102,PHY320740
1103,PHY355786
1104,PHY382022
1105,PHY383283
1106,PHY423154
1107,PHY347834
1108,PHY432438
1109,PHY411005
1110,PHY353823
1111,PHY386996
1112,PHY393334
1113,PHY400039
1114,PHY378541
1115,PHY331418
1116,PHY348616
1117,PHY337576
1118,PHY334125
1119,PHY366930
1120,PHY417345
1121,PHY375267
1122,PHY346385
1123,PHY329234
1124,PHY349260
1125,PHY315036
1126,PHY345766
1127,PHY430397
1128,PHY400473
1129,PHY420603
1130,PHY350635
1131,PHY352299
1132,PHY356709
1133,PHY337580
1134,PHY404570
1135,PHY352753
1136,PHY366909
1137,PHY325328
1138,PHY371145
1139,PHY344389
1140,PHY381893
1141,PHY337276
1142,PHY411611
1143,PHY370842
1144,PHY415546
1145,PHY338565
1146,PHY333636
1147,PHY402362
1148,PHY337425
1149,PHY398444
1150,PHY392884
1151,PHY341578
1152,PHY412342
1153,PHY314482
1154,PHY355102
1155,PHY385282
1156,PHY317185
1157,PHY358696
1158,PHY389419
1159,PHY347097
1160,PHY407040
1161,PHY316221
1162,PHY324497
1163,PHY431888
1164,PHY419974
1165,PHY399463
1166,PHY365427
1167,PHY374305
1168,PHY375251
1169,PHY315428
1170,PHY408090
1171,PHY376062
1172,PHY399147
1173,PHY364082
1174,PHY329089
1175,PHY361771
1176,PHY396282
1177,PHY323241
1178,PHY359540
1179,PHY366891
1180,PHY433357
1181,PHY318756
1182,PHY338588
1183,PHY381919
1184,PHY333840
1185,PHY403042
1186,PHY316536
1187,PHY422817
1188,PHY380625
1189,PHY401228
1190,PHY376963
1191,PHY412906
1192,PHY418434
1193,PHY424276
1194,PHY420323
1195,PHY414843
1196,PHY392136
1197,PHY416840
1198,PHY419950
1199,PHY390243
1200,PHY404169
1201,PHY377766
1202,PHY368630
1203,PHY363335
1204,PHY347026
1205,PHY338208
1206,PHY425795
1207,PHY349545
1208,PHY357501
1209,PHY421058
1210,PHY369431
1211,PHY429749
1212,PHY405253
1213,PHY334527
1214,PHY427070
1215,PHY320280
1216,PHY381364
1217,PHY427167
1218,PHY428995
1219,PHY411225
1220,PHY408943
1221,PHY371916
1222,PHY433710
1223,PHY354045
1224,PHY402499
1225,PHY396128
1226,PHY421092
1227,PHY334649
1228,PHY416953
1229,PHY361428
1230,PHY378955
1231,PHY391882
1232,PHY408802
1233,PHY397943
1234,PHY349756
1235,PHY397865
1236,PHY339530
1237,PHY340117
1238,PHY431588
1239,PHY322497
1240,PHY344090
1241,PHY328582
1242,PHY425388
1243,PHY409298
1244,PHY422853
1245,PHY340290
1246,PHY397350
1247,PHY345269
1248,PHY393846
1249,PHY349210
1250,PHY404025
1251,PHY394049
1252,PHY318623
1253,PHY339680
1254,PHY405669
1255,PHY342359
1256,PHY346171
1257,PHY320702
1258,PHY426339
1259,PHY397407
1260,PHY355639
1261,PHY380883
1262,PHY401174
1263,PHY387290
1264,PHY392037
1265,PHY339878
1266,PHY311313
1267,PHY386703
1268,PHY398108
1269,PHY406880
1270,PHY432870
1271,PHY393856
1272,PHY386816
1273,PHY331093
1274,PHY377177
1275,PHY349558
1276,PHY367823
1277,PHY409335
1278,PHY425815
1279,PHY382175
1280,PHY392168
1281,PHY355468
1282,PHY326062
1283,PHY429501
1284,PHY358070
1285,PHY389574
1286,PHY346057
1287,PHY370342
1288,PHY338690
1289,PHY402412
1290,PHY315806
1291,PHY333980
1292,PHY313266
1293,PHY405165
1294,PHY321506
1295,PHY321770
1296,PHY384222
1297,PHY374630
1298,PHY317439
1299,PHY403179
1300,PHY356192
1301,PHY332412
1302,PHY355329
1303,PHY416422
1304,PHY334053
1305,PHY385898
1306,PHY330830
1307,PHY429147
1308,PHY347629
1309,PHY341082
1310,PHY355366
1311,PHY382394
1312,PHY357741
1313,PHY414323
1314,PHY327709
1315,PHY313485
1316,PHY360985
1317,PHY430465
1318,PHY379674
1319,PHY367887
1320,PHY359860
1321,PHY358274
1322,PHY401462
1323,PHY334944
1324,PHY348103
1325,PHY351463
1326,PHY352256
1327,PHY370158
1328,PHY362201
1329,PHY328853
1330,PHY390594
1331,PHY393605
1332,PHY358732
1333,PHY410770
1334,PHY335428
1335,PHY356154
1336,PHY384674
1337,PHY321977
1338,PHY316000
1339,PHY362262
1340,PHY313204
1341,PHY422895
1342,PHY416449
1343,PHY398888
1344,PHY351580
1345,PHY418163
1346,PHY425221
1347,PHY384405
1348,PHY399161
1349,PHY342065
1350,PHY316611
1351,PHY350839
1352,PHY332588
1353,PHY363918
1354,PHY355653
1355,PHY357800
1356,PHY407936
1357,PHY315439
1358,PHY373682
1359,PHY337437
1360,PHY322729
1361,PHY337213
1362,PHY378484
1363,PHY427126
1364,PHY341190
1365,PHY424570
1366,PHY333580
1367,PHY426565
1368,PHY376057
1369,PHY401599
1370,PHY333221
1371,PHY335354
1372,PHY365540
1373,PHY351544
1374,PHY366293
1375,PHY364238
1376,PHY349287
1377,PHY356896
1378,PHY319230
1379,PHY358543
1380,PHY347104
1381,PHY316310
1382,PHY420905
1383,PHY399303
1384,PHY344635
1385,PHY327631
1386,PHY313191
1387,PHY391796
1388,PHY398134
1389,PHY344920
1390,PHY330361
1391,PHY335828
1392,PHY408561
1393,PHY375392
1394,PHY413785
1395,PHY326223
1396,PHY386547
1397,PHY381277
1398,PHY365902
1399,PHY408589
1400,PHY380813
1401,PHY411970
1402,PHY381963
1403,PHY375931
1404,PHY433754
1405,PHY388144
1406,PHY328699
1407,PHY322586
1408,PHY380963
1409,PHY359916
1410,PHY335165
1411,PHY374196
1412,PHY328070
1413,PHY390875
1414,PHY340298
1415,PHY423980
1416,PHY375209
1417,PHY374270
1418,PHY316941
1419,PHY416685
1420,PHY402941
1421,PHY373528
1422,PHY381967
1423,PHY399628
1424,PHY386469
1425,PHY356865
1426,PHY311291
1427,PHY399029
1428,PHY346768
1429,PHY405838
1430,PHY346756
1431,PHY342116
1432,PHY424424
1433,PHY390757
1434,PHY406645
1435,PHY347496
1436,PHY321514
1437,PHY348265
1438,PHY353551
1439,PHY378637
1440,PHY323481
1441,PHY373646
1442,PHY411977
1443,PHY427150
1444,PHY395103
1445,PHY403751
1446,PHY401283
1447,PHY381020
1448,PHY349818
1449,PHY372535
1450,PHY329189
1451,PHY390285
1452,PHY381529
1453,PHY387710
1454,PHY395027
1455,PHY312231
1456,PHY394144
1457,PHY393668
1458,PHY382188
1459,PHY344539
1460,PHY415212
1461,PHY409629
1462,PHY389477
1463,PHY326010
1464,PHY432324
1465,PHY410308
1466,PHY403576
1467,PHY382308
1468,PHY426893
1469,PHY364025
1470,PHY411722
1471,PHY425402
1472,PHY404834
1473,PHY430215
1474,PHY411407
1475,PHY409927
1476,PHY419026
1477,PHY388600
1478,PHY364561
1479,PHY414502
1480,PHY343390
1481,PHY401624
1482,PHY433436
1483,PHY394725
1484,PHY343933
1485,PHY313818
1486,PHY357683
1487,PHY352112
1488,PHY432833
1489,PHY419108
1490,PHY409058
1491,PHY367698
1492,PHY362675
1493,PHY407004
1494,PHY344619
1495,PHY335280
1496,PHY403215
1497,PHY398953
1498,PHY330254
1499,PHY362059
1500,PHY350848
1501,PHY380224
1502,PHY419322
1503,PHY377552
1504,PHY388500
1505,PHY314423
1506,PHY361820
1507,PHY371865
1508,PHY326286
1509,PHY367158
1510,PHY374593
1511,PHY413718
1512,PHY377125
1513,PHY408301
1514,PHY325874
1515,PHY371011
1516,PHY396544
1517,PHY338077
1518,PHY376928
1519,PHY358635
1520,PHY340455
1521,PHY424939
1522,PHY332888
1523,PHY358012
1524,PHY342935
1525,PHY345379
1526,PHY378652
1527,PHY323370
1528,PHY375443
1529,PHY379934
1530,PHY421942
1531,PHY396101
1532,PHY339875
1533,PHY415052
1534,PHY318126
1535,PHY433475
1536,PHY423759
1537,PHY331578
1538,PHY346968
1539,PHY433044
1540,PHY368896
1541,PHY383692
1542,PHY415321
1543,PHY419134
1544,PHY344410
1545,PHY333835
1546,PHY376387
1547,PHY342374
1548,PHY320687
1549,PHY338866
1550,PHY386493
1551,PHY351782
1552,PHY353771
1553,PHY426359
1554,PHY348636
1555,PHY363817
1556,PHY396637
1557,PHY413781
1558,PHY323643
1559,PHY360179
1560,PHY334192
1561,PHY389399
1562,PHY364970
1563,PHY322543
1564,PHY428264
1565,PHY334319
1566,PHY334313
1567,PHY325690
1568,PHY426182
1569,PHY355871
1570,PHY397351
1571,PHY417908
1572,PHY382658
1573,PHY372812
1574,PHY387622
1575,PHY385072
1576,PHY364844
1577,PHY332284
1578,PHY430990
1579,PHY429433
1580,PHY384873
1581,PHY424469
1582,PHY323682
1583,PHY325420
1584,PHY311190
1585,PHY316474
1586,PHY332061
1587,PHY321718
1588,PHY330662
1589,PHY331636
1590,PHY337890
1591,PHY353479
1592,PHY367953
1593,PHY360043
1594,PHY412076
1595,PHY389731
1596,PHY366069
1597,PHY407877
1598,PHY433530
1599,PHY323867
1600,PHY341928
1601,PHY330265
1602,PHY340548
1603,PHY433967
1604,PHY375556
1605,PHY373076
1606,PHY376555
1607,PHY383854
1608,PHY429392
1609,PHY392955
1610,PHY365595
1611,PHY341041
1612,PHY339345
1613,PHY426424
1614,PHY358810
1615,PHY432444
1616,PHY325821
1617,PHY331295
1618,PHY410681
1619,PHY394351
1620,PHY338759
1621,PHY368454
1622,PHY410333
1623,PHY417224
1624,PHY415454
1625,PHY367441
1626,PHY428456
1627,PHY314265
1628,PHY322949
1629,PHY317025
1630,PHY424468
1631,PHY358850
1632,PHY399896
1633,PHY341982
1634,PHY374441
1635,PHY398170
1636,PHY408671
1637,PHY426218
1638,PHY356846
1639,PHY383127
1640,PHY372353
1641,PHY334132
1642,PHY374291
1643,PHY359990
1644,PHY346397
1645,PHY416314
1646,PHY379146
1647,PHY350773
1648,PHY320921
1649,PHY352400
1650,PHY341270
1651,PHY373921
1652,PHY388352
1653,PHY333329
1654,PHY388435
1655,PHY424428
1656,PHY356444
1657,PHY389143
1658,PHY396224
1659,PHY402679
1660,PHY337724
1661,PHY351998
