OtherPhysician_ID,OtherPhysician
418,PHY403762
419,PHY431622
420,PHY364082
421,PHY424391
422,PHY347923
423,PHY338588
424,PHY381919
425,PHY316894
426,PHY329526
427,PHY357501
428,PHY396637
429,PHY361481
430,PHY407435
431,PHY394688
432,PHY404315
433,PHY427167
434,PHY411225
435,PHY408943
436,PHY371916
437,PHY354045
438,PHY378955
439,PHY349756
440,PHY410050
441,PHY358790
442,PHY388382
443,PHY340290
444,PHY425479
445,PHY394049
446,PHY339680
447,PHY405669
448,PHY342359
449,PHY320702
450,PHY426339
451,PHY362565
452,PHY380883
453,PHY387290
454,PHY422423
455,PHY431211
456,PHY411165
457,PHY338234
458,PHY333980
459,PHY349210
460,PHY378942
461,PHY362888
462,PHY317439
463,PHY403179
464,PHY424398
465,PHY326959
466,PHY341688
467,PHY373993
468,PHY327709
469,PHY379674
470,PHY401462
471,PHY372204
472,PHY421835
473,PHY331783
474,PHY313204
475,PHY339877
476,PHY417432
477,PHY431948
478,PHY318111
479,PHY362184
480,PHY425221
481,PHY368624
482,PHY338670
483,PHY373682
484,PHY397499
485,PHY333580
486,PHY396763
487,PHY364238
488,PHY339839
489,PHY347104
490,PHY390698
491,PHY328402
492,PHY423316
493,PHY424188
494,PHY325084
495,PHY427469
496,PHY362011
497,PHY381277
498,PHY375931
499,PHY433754
500,PHY388144
501,PHY359916
502,PHY417949
503,PHY316941
504,PHY416685
505,PHY315554
506,PHY342889
507,PHY386469
508,PHY356865
509,PHY311291
510,PHY424424
511,PHY362748
512,PHY406645
513,PHY313529
514,PHY327732
515,PHY328785
516,PHY365963
517,PHY425337
518,PHY381020
519,PHY349818
520,PHY389477
521,PHY386510
522,PHY403576
523,PHY426893
524,PHY411722
525,PHY344917
526,PHY404834
527,PHY411407
528,PHY311580
529,PHY355385
530,PHY316329
531,PHY409058
532,PHY358975
533,PHY366132
534,PHY350441
535,PHY404200
536,PHY341935
537,PHY428062
538,PHY311862
539,PHY326286
540,PHY344373
541,PHY413718
542,PHY336029
543,PHY385292
544,PHY375219
545,PHY379142
546,PHY376928
547,PHY340455
548,PHY422235
549,PHY355760
550,PHY358012
551,PHY318113
552,PHY379934
553,PHY415052
554,PHY367373
555,PHY331578
556,PHY346968
557,PHY433044
558,PHY368896
559,PHY371484
560,PHY415321
561,PHY349363
562,PHY355719
563,PHY353950
564,PHY426359
565,PHY323643
566,PHY367369
567,PHY346738
568,PHY326317
569,PHY426182
570,PHY417908
571,PHY387622
572,PHY328683
573,PHY432888
574,PHY374288
575,PHY331636
576,PHY357196
577,PHY312831
578,PHY313278
579,PHY374976
580,PHY341928
581,PHY330265
582,PHY343113
583,PHY389829
584,PHY406201
585,PHY432444
586,PHY325821
587,PHY333735
588,PHY407877
589,PHY410681
590,PHY368454
591,PHY403479
592,PHY417224
593,PHY411398
594,PHY323063
595,PHY366930
596,PHY341982
597,PHY408671
598,PHY426218
599,PHY362718
600,PHY411349
601,PHY419508
602,PHY388435
603,PHY356444
604,PHY415382
605,PHY402679
606,PHY423989
607,PHY429865
608,PHY424811
609,PHY380551
610,PHY421650
611,PHY341764
612,PHY351579
613,PHY421569
614,PHY334336
615,PHY398171
616,PHY373861
617,PHY377922
618,PHY426560
619,PHY334461
620,PHY369254
621,PHY348419
622,PHY363942
623,PHY363798
624,PHY403068
625,PHY340436
626,PHY396839
627,PHY383017
628,PHY346771
629,PHY412390
630,PHY405826
631,PHY423980
632,PHY434097
633,PHY346923
634,PHY318539
635,PHY371562
636,PHY395758
637,PHY388477
638,PHY390366
639,PHY312018
640,PHY373749
641,PHY397544
642,PHY353040
643,PHY350249
644,PHY364809
645,PHY361690
646,PHY426156
647,PHY331021
648,PHY360394
649,PHY375112
650,PHY427186
651,PHY371646
652,PHY354548
653,PHY401935
654,PHY354207
655,PHY390009
656,PHY402959
657,PHY313682
658,PHY361031
659,PHY344559
660,PHY376765
661,PHY397688
662,PHY322926
663,PHY402089
664,PHY363960
665,PHY327964
666,PHY345363
667,PHY411712
668,PHY313102
669,PHY409580
670,PHY418936
671,PHY354241
672,PHY396652
673,PHY315778
674,PHY413485
675,PHY332307
676,PHY426595
677,PHY312201
678,PHY352286
679,PHY412167
680,PHY399963
681,PHY403394
682,PHY361747
683,PHY344557
684,PHY429616
685,PHY323364
686,PHY379709
687,PHY325690
688,PHY330532
689,PHY328698
690,PHY347302
691,PHY349020
692,PHY427421
693,PHY360510
694,PHY430510
695,PHY359079
696,PHY351338
697,PHY402532
698,PHY422096
699,PHY351942
700,PHY325966
701,PHY404550
702,PHY400380
703,PHY388418
704,PHY372732
705,PHY334768
706,PHY354143
707,PHY406320
708,PHY414472
709,PHY396843
710,PHY399896
711,PHY419240
712,PHY318180
713,PHY317738
714,PHY392580
715,PHY418283
716,PHY361861
717,PHY316159
718,PHY365722
719,PHY403010
720,PHY416225
721,PHY351099
722,PHY386012
723,PHY322912
724,PHY387679
725,PHY360477
726,PHY349880
727,PHY394951
728,PHY380465
729,PHY342753
730,PHY392136
731,PHY319039
732,PHY433622
733,PHY328811
734,PHY342405
735,PHY365244
736,PHY404832
737,PHY367175
738,PHY353529
739,PHY409579
740,PHY328639
741,PHY314697
742,PHY385404
743,PHY350635
744,PHY353276
745,PHY362848
746,PHY408038
747,PHY313264
748,PHY319692
749,PHY351657
750,PHY392985
751,PHY364477
752,PHY395974
753,PHY336858
754,PHY405467
755,PHY353108
756,PHY360753
757,PHY426742
758,PHY322464
759,PHY328156
760,PHY423886
761,PHY428261
762,PHY408009
763,PHY410385
764,PHY325005
765,PHY340158
766,PHY322735
767,PHY427288
768,PHY326853
769,PHY364305
770,PHY427886
771,PHY378468
772,PHY327433
773,PHY317267
774,PHY411869
775,PHY328053
776,PHY338024
777,PHY405497
778,PHY376748
779,PHY322624
780,PHY346081
781,PHY377998
782,PHY315280
783,PHY342503
784,PHY319878
785,PHY421582
786,PHY317529
787,PHY344306
788,PHY412904
789,PHY359641
790,PHY345104
791,PHY329382
792,PHY426413
793,PHY409924
794,PHY358603
795,PHY390818
796,PHY368206
797,PHY319777
798,PHY356911
799,PHY349775
800,PHY416058
801,PHY333437
802,PHY359540
803,PHY339045
804,PHY325906
805,PHY391369
806,PHY408941
807,PHY373907
808,PHY356156
809,PHY379387
810,PHY386089
811,PHY320954
812,PHY319228
813,PHY376317
814,PHY358274
815,PHY378409
816,PHY312665
817,PHY344779
818,PHY356343
819,PHY348617
820,PHY344021
821,PHY364119
822,PHY358089
823,PHY383479
824,PHY427272
825,PHY339409
826,PHY332326
827,PHY368489
828,PHY361180
829,PHY388295
830,PHY360289
831,PHY413868
832,PHY343570
833,PHY361315
834,PHY347755
835,PHY330089
836,PHY352171
837,PHY327837
838,PHY358913
839,PHY351123
840,PHY430780
841,PHY402395
842,PHY350138
843,PHY420672
844,PHY431424
845,PHY412837
846,PHY329408
847,PHY335552
848,PHY400587
849,PHY315436
850,PHY380890
851,PHY351983
852,PHY385718
853,PHY368618
854,PHY389434
855,PHY323093
856,PHY406400
857,PHY354358
858,PHY339047
859,PHY350399
860,PHY430241
861,PHY315460
862,PHY376226
863,PHY412967
864,PHY393303
865,PHY383183
866,PHY411660
867,PHY332048
868,PHY326003
869,PHY341645
870,PHY380086
871,PHY386559
872,PHY324093
873,PHY350155
874,PHY430838
875,PHY400986
876,PHY418056
877,PHY433636
878,PHY396700
879,PHY402716
880,PHY417133
881,PHY337926
882,PHY357509
883,PHY422108
884,PHY328565
885,PHY431296
886,PHY372267
887,PHY412356
888,PHY368275
889,PHY369869
890,PHY332626
891,PHY313605
892,PHY428567
893,PHY380511
894,PHY406531
895,PHY321424
896,PHY408223
897,PHY338662
898,PHY406992
899,PHY358103
900,PHY420779
901,PHY351777
902,PHY398810
903,PHY406664
904,PHY423363
905,PHY382695
906,PHY415041
907,PHY399150
908,PHY381467
909,PHY346615
910,PHY367676
911,PHY335996
912,PHY353955
913,PHY316036
914,PHY416331
915,PHY426815
916,PHY385198
917,PHY432536
918,PHY369816
919,PHY316021
920,PHY415971
921,PHY342307
922,PHY318347
923,PHY366996
924,PHY319221
925,PHY348828
926,PHY316521
927,PHY330178
928,PHY378544
929,PHY345250
930,PHY382310
931,PHY427458
932,PHY381933
933,PHY395372
934,PHY414365
935,PHY331654
936,PHY402723
937,PHY376280
938,PHY317142
939,PHY377763
940,PHY317087
941,PHY323408
942,PHY328857
943,PHY354353
944,PHY319783
945,PHY404684
946,PHY345000
947,PHY407997
948,PHY372826
949,PHY335791
950,PHY312547
951,PHY405414
952,PHY335601
953,PHY333307
954,PHY409307
955,PHY386100
956,PHY332068
957,PHY423533
958,PHY341203
959,PHY425169
960,PHY316669
961,PHY373137
962,PHY331550
963,PHY352147
964,PHY312494
965,PHY350595
966,PHY430103
967,PHY385132
968,PHY413789
969,PHY317382
970,PHY374582
971,PHY400279
972,PHY431443
973,PHY405821
974,PHY346546
975,PHY419821
976,PHY317619
977,PHY392154
978,PHY327386
979,PHY393668
980,PHY323349
981,PHY365445
982,PHY339818
983,PHY423625
984,PHY379162
985,PHY355749
986,PHY395271
987,PHY409086
988,PHY376613
989,PHY432924
990,PHY408249
991,PHY391777
992,PHY403420
993,PHY366236
994,PHY387664
995,PHY406184
996,PHY389246
997,PHY342912
998,PHY315806
999,PHY372154
1000,PHY378524
1001,PHY324916
1002,PHY340260
1003,PHY318343
1004,PHY349944
1005,PHY359690
1006,PHY322830
1007,PHY339637
1008,PHY388916
1009,PHY394355
1010,PHY398897
1011,PHY341157
1012,PHY397865
1013,PHY420120
1014,PHY343132
1015,PHY372308
1016,PHY383974
1017,PHY311615
1018,PHY420132
1019,PHY365585
1020,PHY373630
1021,PHY404773
1022,PHY340839
1023,PHY336047
1024,PHY335754
1025,PHY313705
1026,PHY365540
1027,PHY322092
1028,PHY377552
1029,PHY386851
1030,PHY320921
1031,PHY420824
1032,PHY369250
1033,PHY394444
1034,PHY348911
1035,PHY408317
1036,PHY345319
1037,PHY336931
1038,PHY374296
1039,PHY356392
1040,PHY425593
1041,PHY413566
1042,PHY370346
1043,PHY344770
1044,PHY409345
1045,PHY412600
1046,PHY415209
1047,PHY395796
1048,PHY352357
1049,PHY429998
1050,PHY316631
1051,PHY351111
1052,PHY371357
1053,PHY388831
1054,PHY429542
1055,PHY313697
1056,PHY415698
1057,PHY355366
1058,PHY325994
1059,PHY402848
1060,PHY372648
1061,PHY355122
1062,PHY392554
1063,PHY332139
1064,PHY346882
1065,PHY418583
1066,PHY348425
1067,PHY398511
1068,PHY344944
1069,PHY388022
1070,PHY429823
1071,PHY357782
1072,PHY421122
1073,PHY338597
1074,PHY419237
1075,PHY390716
1076,PHY331099
1077,PHY335724
1078,PHY358928
1079,PHY403205
1080,PHY377057
1081,PHY367940
1082,PHY313784
1083,PHY392189
1084,PHY339862
1085,PHY419049
1086,PHY323254
1087,PHY421725
1088,PHY366658
1089,PHY357182
1090,PHY404722
1091,PHY422043
1092,PHY377709
1093,PHY419180
1094,PHY407560
1095,PHY391794
1096,PHY404342
1097,PHY356055
1098,PHY351376
1099,PHY404122
1100,PHY314469
1101,PHY324500
1102,PHY386219
1103,PHY332732
1104,PHY426199
1105,PHY417811
1106,PHY359155
1107,PHY352006
1108,PHY345651
1109,PHY342448
1110,PHY348779
1111,PHY346032
1112,PHY408709
1113,PHY432193
1114,PHY378094
1115,PHY376744
1116,PHY346833
1117,PHY336315
1118,PHY355312
1119,PHY414311
1120,PHY368059
1121,PHY343771
1122,PHY370724
1123,PHY431348
1124,PHY361556
1125,PHY329234
1126,PHY384674
1127,PHY366926
1128,PHY390890
1129,PHY426231
1130,PHY402251
1131,PHY316388
1132,PHY402188
1133,PHY427842
1134,PHY395066
1135,PHY320525
1136,PHY386389
1137,PHY382901
1138,PHY345988
1139,PHY393605
1140,PHY348222
1141,PHY363341
1142,PHY326086
1143,PHY365186
1144,PHY345281
1145,PHY362889
1146,PHY333046
1147,PHY425644
1148,PHY433675
1149,PHY332351
1150,PHY388529
1151,PHY324935
1152,PHY415633
1153,PHY320280
1154,PHY322860
1155,PHY409783
1156,PHY403131
1157,PHY337753
1158,PHY429765
1159,PHY398955
1160,PHY349827
1161,PHY352555
1162,PHY340775
1163,PHY353350
1164,PHY326858
1165,PHY382394
1166,PHY355670
1167,PHY365581
1168,PHY367592
1169,PHY430193
1170,PHY422095
1171,PHY369650
1172,PHY414605
1173,PHY353984
1174,PHY321300
1175,PHY368490
1176,PHY371174
1177,PHY312474
1178,PHY333208
1179,PHY377942
1180,PHY367993
1181,PHY338168
1182,PHY387929
1183,PHY363414
1184,PHY357872
1185,PHY386498
1186,PHY382193
1187,PHY324192
1188,PHY383305
1189,PHY430053
1190,PHY374758
1191,PHY408882
1192,PHY425309
1193,PHY334202
1194,PHY391136
1195,PHY319541
1196,PHY325886
1197,PHY385898
1198,PHY358879
1199,PHY315750
1200,PHY332691
1201,PHY317092
1202,PHY311603
1203,PHY376284
1204,PHY418007
1205,PHY317711
1206,PHY343556
1207,PHY354449
1208,PHY325219
1209,PHY413182
1210,PHY326388
1211,PHY420574
1212,PHY427504
1213,PHY398617
1214,PHY369712
1215,PHY391351
1216,PHY332725
1217,PHY349052
1218,PHY396914
1219,PHY415241
1220,PHY367015
1221,PHY425215
1222,PHY371264
1223,PHY372417
1224,PHY422673
1225,PHY322019
1226,PHY408624
1227,PHY352137
1228,PHY384520
1229,PHY411605
1230,PHY403667
1231,PHY428047
1232,PHY389443
1233,PHY431706
1234,PHY337402
1235,PHY431580
1236,PHY428620
1237,PHY382599
1238,PHY346773
1239,PHY341524
1240,PHY365693
1241,PHY316547
1242,PHY429058
1243,PHY352595
1244,PHY423728
1245,PHY362518
1246,PHY320347
1247,PHY391158
1248,PHY314378
1249,PHY410817
1250,PHY350201
1251,PHY363082
1252,PHY380224
1253,PHY374164
1254,PHY321573
1255,PHY378315
1256,PHY357270
1257,PHY429690
1258,PHY374391
1259,PHY370701
1260,PHY371129
1261,PHY412053
1262,PHY325548
1263,PHY371931
1264,PHY342356
1265,PHY368623
1266,PHY356274
1267,PHY418413
1268,PHY344271
1269,PHY419512
1270,PHY433578
1271,PHY379459
1272,PHY375917
1273,PHY353362
1274,PHY414498
1275,PHY319349
1276,PHY319973
1277,PHY407357
1278,PHY426351
1279,PHY386387
1280,PHY399716
1281,PHY355131
1282,PHY345071
1283,PHY394954
1284,PHY419966
1285,PHY324132
1286,PHY400562
1287,PHY429887
1288,PHY431745
1289,PHY423267
1290,PHY427223
1291,PHY324021
1292,PHY383001
1293,PHY374755
1294,PHY425830
1295,PHY433213
1296,PHY397108
1297,PHY371580
1298,PHY323501
1299,PHY363487
1300,PHY357072
1301,PHY328044
1302,PHY367186
1303,PHY353253
1304,PHY396036
1305,PHY409859
1306,PHY314417
1307,PHY377653
1308,PHY417842
1309,PHY432552
1310,PHY347107
1311,PHY372440
1312,PHY386158
1313,PHY342079
1314,PHY392692
1315,PHY323250
1316,PHY319586
1317,PHY312216
1318,PHY383041
1319,PHY399777
1320,PHY318302
1321,PHY409152
1322,PHY396366
1323,PHY411476
1324,PHY380359
1325,PHY391422
1326,PHY367932
1327,PHY353397
1328,PHY316442
1329,PHY371901
1330,PHY425514
1331,PHY387830
1332,PHY380012
1333,PHY314853
1334,PHY354374
1335,PHY367887
1336,PHY409571
1337,PHY329971
1338,PHY368866
1339,PHY385085
1340,PHY338043
1341,PHY357095
1342,PHY426946
1343,PHY347135
1344,PHY332506
1345,PHY362283
1346,PHY356380
1347,PHY385358
1348,PHY364802
1349,PHY384389
1350,PHY349053
1351,PHY421110
1352,PHY433771
1353,PHY347510
1354,PHY363764
1355,PHY354646
1356,PHY373977
1357,PHY341590
1358,PHY374376
1359,PHY396630
1360,PHY419425
1361,PHY311270
1362,PHY429614
1363,PHY367724
1364,PHY397149
1365,PHY425443
1366,PHY361771
1367,PHY355281
1368,PHY427491
1369,PHY348557
1370,PHY389869
1371,PHY344492
1372,PHY354026
1373,PHY342605
1374,PHY415257
1375,PHY402231
1376,PHY372663
1377,PHY376005
1378,PHY421337
1379,PHY348872
1380,PHY394775
1381,PHY381196
1382,PHY317078
1383,PHY366632
1384,PHY419803
1385,PHY383534
1386,PHY331855
1387,PHY338116
1388,PHY315243
1389,PHY331247
1390,PHY407447
1391,PHY427006
1392,PHY365191
1393,PHY312571
1394,PHY389868
1395,PHY347858
1396,PHY375649
1397,PHY343334
1398,PHY336334
1399,PHY340336
1400,PHY329360
1401,PHY432659
1402,PHY391321
1403,PHY417193
1404,PHY405001
1405,PHY311567
1406,PHY361248
1407,PHY414939
1408,PHY330453
1409,PHY381451
1410,PHY333375
1411,PHY354929
1412,PHY433775
1413,PHY360865
1414,PHY354509
1415,PHY404360
1416,PHY331702
1417,PHY312965
1418,PHY431085
1419,PHY333691
1420,PHY323657
1421,PHY416972
1422,PHY318916
1423,PHY386161
1424,PHY313818
1425,PHY380611
1426,PHY425961
1427,PHY349438
1428,PHY349726
1429,PHY347050
1430,PHY368700
1431,PHY369657
1432,PHY341388
1433,PHY326161
1434,PHY326637
1435,PHY321563
1436,PHY379944
1437,PHY316863
1438,PHY344485
1439,PHY422717
1440,PHY390762
1441,PHY316917
1442,PHY424865
1443,PHY337543
1444,PHY319012
1445,PHY418624
1446,PHY352116
1447,PHY411865
1448,PHY420169
1449,PHY317617
1450,PHY377869
1451,PHY356051
1452,PHY348408
1453,PHY405679
1454,PHY337791
1455,PHY406328
1456,PHY424890
1457,PHY413989
1458,PHY394095
1459,PHY403795
1460,PHY396631
1461,PHY359443
1462,PHY367249
1463,PHY313877
1464,PHY376292
1465,PHY327800
1466,PHY353036
1467,PHY338461
1468,PHY312898
1469,PHY345841
1470,PHY409389
1471,PHY396140
1472,PHY404019
1473,PHY411354
1474,PHY398351
1475,PHY319186
1476,PHY427473
1477,PHY429702
1478,PHY335942
1479,PHY420511
1480,PHY353436
1481,PHY356468
1482,PHY379401
1483,PHY431435
1484,PHY399778
1485,PHY416489
1486,PHY374163
1487,PHY425553
1488,PHY369063
1489,PHY313127
1490,PHY345836
1491,PHY411662
1492,PHY348307
1493,PHY327514
1494,PHY346061
1495,PHY316212
1496,PHY347374
1497,PHY380909
1498,PHY364887
1499,PHY417075
1500,PHY380296
1501,PHY383336
1502,PHY352140
1503,PHY405483
1504,PHY399029
1505,PHY312772
1506,PHY322312
1507,PHY332436
1508,PHY367916
1509,PHY340075
1510,PHY411997
1511,PHY387870
1512,PHY414683
1513,PHY349309
1514,PHY354653
1515,PHY390727
1516,PHY340344
1517,PHY376357
1518,PHY356924
1519,PHY330465
1520,PHY343446
1521,PHY371576
1522,PHY389357
1523,PHY347006
1524,PHY365292
1525,PHY346310
1526,PHY404266
1527,PHY431463
1528,PHY389606
1529,PHY381377
1530,PHY350890
1531,PHY416961
1532,PHY427479
1533,PHY355924
1534,PHY379531
1535,PHY314338
1536,PHY339481
1537,PHY350408
1538,PHY398663
1539,PHY431880
1540,PHY347921
1541,PHY340015
1542,PHY329385
1543,PHY333908
1544,PHY430093
1545,PHY382608
1546,PHY356363
1547,PHY333614
1548,PHY378585
1549,PHY408024
1550,PHY350991
1551,PHY419570
1552,PHY326220
1553,PHY354099
1554,PHY390844
1555,PHY343688
1556,PHY402461
1557,PHY365419
1558,PHY328191
1559,PHY367523
1560,PHY413029
1561,PHY385035
1562,PHY322200
1563,PHY415890
1564,PHY323344
1565,PHY366922
1566,PHY428084
1567,PHY320990
1568,PHY429708
1569,PHY400693
1570,PHY363899
1571,PHY326261
1572,PHY387351
1573,PHY317695
1574,PHY320906
1575,PHY361619
1576,PHY406951
1577,PHY390601
1578,PHY371940
1579,PHY412120
1580,PHY336248
1581,PHY374049
1582,PHY348221
1583,PHY316862
1584,PHY386629
1585,PHY394220
1586,PHY403044
1587,PHY354762
1588,PHY418534
1589,PHY380813
1590,PHY314186
1591,PHY419519
1592,PHY401506
1593,PHY385238
1594,PHY409488
1595,PHY423791
1596,PHY393558
1597,PHY402471
1598,PHY426229
1599,PHY352837
1600,PHY334479
1601,PHY365804
1602,PHY413708
1603,PHY312903
1604,PHY388978
1605,PHY355986
1606,PHY405993
1607,PHY395709
1608,PHY337392
1609,PHY427572
1610,PHY314592
1611,PHY373978
1612,PHY388400
1613,PHY387189
1614,PHY366046
1615,PHY318435
1616,PHY358829
1617,PHY355819
1618,PHY355033
1619,PHY403945
1620,PHY379829
1621,PHY425799
1622,PHY366914
1623,PHY329794
1624,PHY336768
1625,PHY320444
1626,PHY403565
1627,PHY406655
1628,PHY430090
1629,PHY358865
1630,PHY350514
1631,PHY354238
1632,PHY313879
1633,PHY371820
1634,PHY420035
1635,PHY353925
1636,PHY396697
1637,PHY323365
1638,PHY348514
1639,PHY322014
1640,PHY363604
1641,PHY354189
1642,PHY325230
1643,PHY377469
1644,PHY400665
1645,PHY352732
1646,PHY421812
1647,PHY327300
1648,PHY356146
1649,PHY312954
1650,PHY391577
1651,PHY384668
1652,PHY328950
1653,PHY387314
1654,PHY415621
1655,PHY361185
1656,PHY378634
1657,PHY375766
1658,PHY408102
1659,PHY360042
1660,PHY428169
1661,PHY413529
1662,PHY434052
