OperatingPhysician_ID,OperatingPhysician
530,PHY336577
531,PHY358103
532,PHY347520
533,PHY359507
534,PHY381467
535,PHY323263
536,PHY334349
537,PHY366041
538,PHY369816
539,PHY387861
540,PHY383720
541,PHY395464
542,PHY339155
543,PHY322200
544,PHY405440
545,PHY382826
546,PHY394111
547,PHY345503
548,PHY336158
549,PHY396637
550,PHY341325
551,PHY417693
552,PHY351895
553,PHY366349
554,PHY336858
555,PHY358223
556,PHY357940
557,PHY427612
558,PHY428780
559,PHY366613
560,PHY363954
561,PHY409418
562,PHY312330
563,PHY315344
564,PHY421718
565,PHY338431
566,PHY391413
567,PHY425584
568,PHY383451
569,PHY327098
570,PHY392957
571,PHY361606
572,PHY360979
573,PHY333782
574,PHY418030
575,PHY422043
576,PHY363025
577,PHY398995
578,PHY421242
579,PHY423572
580,PHY416894
581,PHY336352
582,PHY396413
583,PHY414985
584,PHY314239
585,PHY358443
586,PHY366365
587,PHY342582
588,PHY376928
589,PHY393161
590,PHY344749
591,PHY327004
592,PHY343931
593,PHY342766
594,PHY393179
595,PHY406184
596,PHY376990
597,PHY364238
598,PHY341935
599,PHY370424
600,PHY395974
601,PHY342656
602,PHY356858
603,PHY427742
604,PHY341157
605,PHY372850
606,PHY330603
607,PHY331523
608,PHY373630
609,PHY386831
610,PHY345698
611,PHY365700
612,PHY394178
613,PHY413113
614,PHY313705
615,PHY432650
616,PHY373879
617,PHY317572
618,PHY367148
619,PHY405259
620,PHY374296
621,PHY387978
622,PHY381683
623,PHY316665
624,PHY341385
625,PHY365507
626,PHY387305
627,PHY408423
628,PHY359290
629,PHY328475
630,PHY324491
631,PHY399747
632,PHY371104
633,PHY386493
634,PHY371060
635,PHY415698
636,PHY372558
637,PHY324000
638,PHY356444
639,PHY393630
640,PHY423000
641,PHY318440
642,PHY311096
643,PHY418200
644,PHY328893
645,PHY387163
646,PHY338597
647,PHY419237
648,PHY313784
649,PHY323563
650,PHY355187
651,PHY321966
652,PHY421499
653,PHY404722
654,PHY372623
655,PHY314308
656,PHY369149
657,PHY324500
658,PHY393344
659,PHY420118
660,PHY408240
661,PHY352006
662,PHY319893
663,PHY340882
664,PHY359508
665,PHY355312
666,PHY363211
667,PHY416833
668,PHY423803
669,PHY399794
670,PHY374128
671,PHY388942
672,PHY320350
673,PHY340118
674,PHY318942
675,PHY315036
676,PHY315915
677,PHY326003
678,PHY386221
679,PHY381326
680,PHY420887
681,PHY433950
682,PHY334198
683,PHY324935
684,PHY420812
685,PHY416664
686,PHY357270
687,PHY376450
688,PHY349827
689,PHY411563
690,PHY339339
691,PHY374079
692,PHY324913
693,PHY342205
694,PHY355670
695,PHY424914
696,PHY405761
697,PHY354762
698,PHY383117
699,PHY371174
700,PHY333208
701,PHY339922
702,PHY391922
703,PHY315028
704,PHY425663
705,PHY349091
706,PHY346751
707,PHY327468
708,PHY431808
709,PHY345241
710,PHY404863
711,PHY331112
712,PHY363414
713,PHY342238
714,PHY385814
715,PHY325805
716,PHY420120
717,PHY386508
718,PHY383305
719,PHY430692
720,PHY311170
721,PHY425309
722,PHY346377
723,PHY320671
724,PHY405416
725,PHY345562
726,PHY358879
727,PHY332691
728,PHY319087
729,PHY408544
730,PHY403478
731,PHY398395
732,PHY332134
733,PHY315695
734,PHY401087
735,PHY354449
736,PHY393201
737,PHY344239
738,PHY338552
739,PHY369712
740,PHY336653
741,PHY423918
742,PHY394758
743,PHY334684
744,PHY344086
745,PHY343056
746,PHY363225
747,PHY352640
748,PHY372417
749,PHY363817
750,PHY388358
751,PHY315424
752,PHY337580
753,PHY416367
754,PHY312333
755,PHY364288
756,PHY365693
757,PHY395822
758,PHY415366
759,PHY417224
760,PHY410817
761,PHY425867
762,PHY430909
763,PHY406976
764,PHY353889
765,PHY374164
766,PHY337919
767,PHY321573
768,PHY374391
769,PHY365181
770,PHY337751
771,PHY405659
772,PHY368623
773,PHY396276
774,PHY342273
775,PHY359291
776,PHY339042
777,PHY372334
778,PHY349301
779,PHY350876
780,PHY393902
781,PHY370399
782,PHY345071
783,PHY328307
784,PHY431745
785,PHY423267
786,PHY411497
787,PHY370880
788,PHY366248
789,PHY336655
790,PHY420154
791,PHY396179
792,PHY395330
793,PHY333314
794,PHY433213
795,PHY323648
796,PHY389475
797,PHY376219
798,PHY323501
799,PHY317695
800,PHY429478
801,PHY423827
802,PHY429299
803,PHY418671
804,PHY423761
805,PHY353253
806,PHY404545
807,PHY314417
808,PHY356440
809,PHY377653
810,PHY389847
811,PHY417842
812,PHY384816
813,PHY403588
814,PHY371725
815,PHY429880
816,PHY410877
817,PHY318302
818,PHY388161
819,PHY323858
820,PHY413501
821,PHY380359
822,PHY401433
823,PHY430528
824,PHY433039
825,PHY381597
826,PHY358414
827,PHY402989
828,PHY341285
829,PHY399835
830,PHY432552
831,PHY312018
832,PHY367339
833,PHY431729
834,PHY313641
835,PHY349387
836,PHY327020
837,PHY320439
838,PHY317716
839,PHY418040
840,PHY424135
841,PHY332506
842,PHY338413
843,PHY329852
844,PHY318467
845,PHY340675
846,PHY363764
847,PHY354646
848,PHY354199
849,PHY431272
850,PHY417913
851,PHY334972
852,PHY322775
853,PHY357427
854,PHY372338
855,PHY426965
856,PHY336141
857,PHY311159
858,PHY428764
859,PHY355607
860,PHY431421
861,PHY405496
862,PHY386718
863,PHY316028
864,PHY384324
865,PHY381196
866,PHY327911
867,PHY411316
868,PHY317078
869,PHY338116
870,PHY432614
871,PHY432320
872,PHY312571
873,PHY371561
874,PHY323695
875,PHY404233
876,PHY429147
877,PHY377896
878,PHY356264
879,PHY334527
880,PHY387254
881,PHY353399
882,PHY365445
883,PHY397565
884,PHY334608
885,PHY374046
886,PHY378220
887,PHY384948
888,PHY360865
889,PHY391322
890,PHY409438
891,PHY373165
892,PHY406662
893,PHY323657
894,PHY363170
895,PHY375054
896,PHY324355
897,PHY415243
898,PHY318470
899,PHY360400
900,PHY415603
901,PHY401805
902,PHY335627
903,PHY321563
904,PHY315621
905,PHY429622
906,PHY398861
907,PHY319012
908,PHY321424
909,PHY429828
910,PHY328032
911,PHY378262
912,PHY411938
913,PHY356051
914,PHY348408
915,PHY343982
916,PHY397506
917,PHY344389
918,PHY357307
919,PHY406328
920,PHY324532
921,PHY323321
922,PHY347793
923,PHY311523
924,PHY348551
925,PHY427129
926,PHY411173
927,PHY377532
928,PHY403808
929,PHY327800
930,PHY391646
931,PHY338461
932,PHY381762
933,PHY404019
934,PHY315432
935,PHY327964
936,PHY317422
937,PHY314610
938,PHY377174
939,PHY382030
940,PHY420511
941,PHY380757
942,PHY408314
943,PHY347293
944,PHY384492
945,PHY334660
946,PHY336677
947,PHY410981
948,PHY384461
949,PHY416489
950,PHY360321
951,PHY340583
952,PHY407472
953,PHY365881
954,PHY429430
955,PHY319745
956,PHY324713
957,PHY331280
958,PHY334516
959,PHY406454
960,PHY388477
961,PHY400422
962,PHY406380
963,PHY347223
964,PHY340075
965,PHY387388
966,PHY408291
967,PHY415979
968,PHY344772
969,PHY426365
970,PHY349309
971,PHY400141
972,PHY388824
973,PHY323506
974,PHY340344
975,PHY392264
976,PHY327690
977,PHY399975
978,PHY321168
979,PHY410596
980,PHY313396
981,PHY364439
982,PHY338690
983,PHY357196
984,PHY328672
985,PHY381377
986,PHY312247
987,PHY382679
988,PHY431310
989,PHY427479
990,PHY397375
991,PHY392639
992,PHY329715
993,PHY347717
994,PHY380351
995,PHY311151
996,PHY326399
997,PHY370441
998,PHY363823
999,PHY391446
1000,PHY316500
1001,PHY357909
1002,PHY326612
1003,PHY402461
1004,PHY345634
1005,PHY335658
1006,PHY349839
1007,PHY430367
1008,PHY399393
1009,PHY344238
1010,PHY353156
1011,PHY363899
1012,PHY412824
1013,PHY348391
1014,PHY314546
1015,PHY352732
1016,PHY326637
1017,PHY373907
1018,PHY368883
1019,PHY413723
1020,PHY412811
1021,PHY368490
1022,PHY341508
1023,PHY328238
1024,PHY372642
1025,PHY432602
1026,PHY330185
1027,PHY377714
1028,PHY372269
1029,PHY430744
1030,PHY333561
1031,PHY337229
1032,PHY427572
1033,PHY347104
1034,PHY428454
1035,PHY360909
1036,PHY403755
1037,PHY358883
1038,PHY346229
1039,PHY388333
1040,PHY419974
1041,PHY431374
1042,PHY315371
1043,PHY348272
1044,PHY339194
1045,PHY358933
1046,PHY372500
1047,PHY365121
1048,PHY411092
1049,PHY314103
1050,PHY366914
1051,PHY406390
1052,PHY320444
1053,PHY329069
1054,PHY427778
1055,PHY359023
1056,PHY339670
1057,PHY422781
1058,PHY407442
1059,PHY377766
1060,PHY322801
1061,PHY428093
1062,PHY396085
1063,PHY325176
1064,PHY318667
1065,PHY335912
1066,PHY317701
1067,PHY423034
1068,PHY316474
1069,PHY372301
1070,PHY394276
1071,PHY361185
1072,PHY369041
1073,PHY331577
1074,PHY327386
1075,PHY331649
1076,PHY361642
1077,PHY414004
1078,PHY409834
1079,PHY336948
1080,PHY430929
1081,PHY336728
1082,PHY320620
1083,PHY354374
1084,PHY432796
1085,PHY344877
1086,PHY352775
1087,PHY418289
1088,PHY311304
1089,PHY418551
1090,PHY340285
1091,PHY424276
1092,PHY323857
1093,PHY374148
1094,PHY371043
1095,PHY318475
1096,PHY426461
1097,PHY358829
1098,PHY420164
1099,PHY348350
1100,PHY360764
1101,PHY414603
1102,PHY328905
1103,PHY384147
1104,PHY401053
1105,PHY358305
1106,PHY349232
1107,PHY352332
1108,PHY391097
1109,PHY339217
1110,PHY381268
1111,PHY356054
1112,PHY379482
1113,PHY398558
1114,PHY372925
1115,PHY354427
1116,PHY388987
1117,PHY314320
1118,PHY400421
1119,PHY399829
1120,PHY338931
1121,PHY359750
1122,PHY374657
1123,PHY320280
1124,PHY430590
1125,PHY345621
1126,PHY352182
1127,PHY353504
1128,PHY402191
1129,PHY327612
1130,PHY320908
1131,PHY320104
1132,PHY425443
1133,PHY330830
1134,PHY390342
1135,PHY338798
1136,PHY331092
1137,PHY411541
1138,PHY379935
1139,PHY415052
1140,PHY357968
1141,PHY424102
1142,PHY424384
1143,PHY419976
1144,PHY352488
1145,PHY424032
1146,PHY390994
1147,PHY376123
1148,PHY404485
1149,PHY380691
1150,PHY427527
1151,PHY348853
1152,PHY396490
1153,PHY313778
1154,PHY424626
1155,PHY391750
1156,PHY379687
1157,PHY376706
1158,PHY409319
1159,PHY387235
1160,PHY322373
1161,PHY343469
1162,PHY379737
1163,PHY414782
1164,PHY371127
1165,PHY369960
1166,PHY346497
1167,PHY312191
1168,PHY418880
1169,PHY346067
1170,PHY420033
1171,PHY348839
1172,PHY426231
1173,PHY430535
1174,PHY413162
1175,PHY398458
1176,PHY312784
1177,PHY362527
1178,PHY415142
1179,PHY324404
1180,PHY358451
1181,PHY425169
1182,PHY412949
1183,PHY316539
1184,PHY394503
1185,PHY358790
1186,PHY331529
1187,PHY388996
1188,PHY312354
1189,PHY313004
1190,PHY431648
1191,PHY332294
1192,PHY325105
1193,PHY347542
1194,PHY312014
1195,PHY405064
1196,PHY375088
1197,PHY391308
1198,PHY428803
1199,PHY414606
1200,PHY401160
1201,PHY351311
1202,PHY407199
1203,PHY367158
1204,PHY364318
1205,PHY357072
1206,PHY327433
1207,PHY361999
1208,PHY393430
1209,PHY339873
1210,PHY391050
1211,PHY404352
1212,PHY392633
1213,PHY325906
1214,PHY342121
1215,PHY360602
1216,PHY356756
1217,PHY366933
1218,PHY314019
1219,PHY340413
1220,PHY365244
1221,PHY389237
1222,PHY361530
1223,PHY370328
1224,PHY407143
1225,PHY342773
1226,PHY397461
1227,PHY416656
1228,PHY425699
1229,PHY430130
1230,PHY426119
1231,PHY373452
1232,PHY390900
1233,PHY315807
1234,PHY397708
1235,PHY312747
1236,PHY418434
1237,PHY332045
1238,PHY365464
1239,PHY407686
1240,PHY355463
1241,PHY327356
1242,PHY433688
1243,PHY359433
1244,PHY360134
1245,PHY386206
1246,PHY399620
1247,PHY433664
1248,PHY358541
1249,PHY432475
1250,PHY348831
1251,PHY411028
1252,PHY330116
1253,PHY334521
1254,PHY406924
1255,PHY429822
1256,PHY372897
1257,PHY347629
1258,PHY424317
1259,PHY342061
1260,PHY318668
1261,PHY380529
1262,PHY315779
1263,PHY325548
1264,PHY397661
1265,PHY354143
1266,PHY392837
1267,PHY427751
1268,PHY385549
1269,PHY312831
1270,PHY360784
1271,PHY418500
1272,PHY335917
1273,PHY388320
1274,PHY366243
1275,PHY315593
1276,PHY357774
1277,PHY317529
1278,PHY391297
1279,PHY379754
1280,PHY392123
1281,PHY312916
1282,PHY312176
1283,PHY384256
1284,PHY413008
1285,PHY331874
1286,PHY318886
1287,PHY409106
1288,PHY407420
1289,PHY345840
1290,PHY407134
1291,PHY368826
1292,PHY405229
1293,PHY418087
1294,PHY420307
1295,PHY403331
1296,PHY331783
1297,PHY365930
1298,PHY332888
1299,PHY393479
1300,PHY415299
1301,PHY393425
1302,PHY347295
1303,PHY356916
1304,PHY402142
1305,PHY335375
1306,PHY390642
1307,PHY331768
1308,PHY409108
1309,PHY431917
1310,PHY377552
1311,PHY397943
1312,PHY339216
1313,PHY357276
1314,PHY347119
1315,PHY340651
1316,PHY371406
1317,PHY320158
1318,PHY374574
1319,PHY356372
1320,PHY347365
1321,PHY317343
1322,PHY339773
1323,PHY428634
1324,PHY384441
1325,PHY335592
1326,PHY417579
1327,PHY376013
1328,PHY379895
1329,PHY322012
1330,PHY362474
1331,PHY428459
1332,PHY347498
1333,PHY341068
1334,PHY379348
1335,PHY320741
1336,PHY383955
1337,PHY331144
1338,PHY333364
1339,PHY397319
1340,PHY378608
1341,PHY340966
1342,PHY338363
1343,PHY401920
1344,PHY325915
1345,PHY315407
1346,PHY412600
1347,PHY365025
1348,PHY346463
1349,PHY358177
1350,PHY366407
1351,PHY432684
1352,PHY414840
1353,PHY389070
1354,PHY367808
1355,PHY345962
1356,PHY338662
1357,PHY418925
1358,PHY405487
1359,PHY321151
1360,PHY320587
1361,PHY325240
1362,PHY420627
1363,PHY410202
1364,PHY333255
1365,PHY365595
1366,PHY355600
1367,PHY347551
1368,PHY339414
1369,PHY352396
1370,PHY386899
1371,PHY385909
1372,PHY369553
1373,PHY406209
1374,PHY322642
1375,PHY415727
1376,PHY419834
1377,PHY398359
1378,PHY412387
1379,PHY359775
1380,PHY396116
1381,PHY312203
1382,PHY355907
1383,PHY326329
1384,PHY332231
1385,PHY408722
1386,PHY315358
1387,PHY378064
1388,PHY412498
1389,PHY349909
1390,PHY345819
1391,PHY315295
1392,PHY357364
1393,PHY403825
1394,PHY348036
1395,PHY322441
1396,PHY342067
1397,PHY414656
1398,PHY363133
1399,PHY411239
1400,PHY389143
1401,PHY324956
1402,PHY370573
1403,PHY390618
1404,PHY314528
1405,PHY329136
1406,PHY329843
1407,PHY325324
1408,PHY411496
1409,PHY373858
1410,PHY427454
1411,PHY367389
1412,PHY313980
1413,PHY429242
1414,PHY340958
1415,PHY408565
1416,PHY432656
1417,PHY376288
1418,PHY380465
1419,PHY311871
1420,PHY383033
1421,PHY331336
1422,PHY358110
1423,PHY420009
1424,PHY346361
1425,PHY406843
1426,PHY381098
1427,PHY331639
1428,PHY384471
1429,PHY366884
1430,PHY421252
1431,PHY411599
1432,PHY346261
1433,PHY346784
1434,PHY431008
1435,PHY334470
1436,PHY336375
1437,PHY329658
1438,PHY355739
1439,PHY353512
1440,PHY428080
1441,PHY423451
1442,PHY347161
1443,PHY401465
1444,PHY315233
1445,PHY347816
1446,PHY341556
1447,PHY332626
1448,PHY394368
1449,PHY351121
1450,PHY382047
1451,PHY406092
1452,PHY403679
1453,PHY370434
1454,PHY332252
1455,PHY335469
1456,PHY423114
1457,PHY397726
1458,PHY373046
1459,PHY321587
1460,PHY408643
1461,PHY397876
1462,PHY424238
1463,PHY340356
1464,PHY344762
1465,PHY403365
1466,PHY318691
1467,PHY326581
1468,PHY430579
1469,PHY415817
1470,PHY422235
1471,PHY428651
1472,PHY419788
1473,PHY348212
1474,PHY431810
1475,PHY311606
1476,PHY312626
1477,PHY341490
1478,PHY420779
1479,PHY333057
1480,PHY420275
1481,PHY429078
1482,PHY389452
1483,PHY344053
1484,PHY399309
1485,PHY343962
1486,PHY346413
1487,PHY344920
1488,PHY372648
1489,PHY431780
1490,PHY426878
1491,PHY373855
1492,PHY314497
1493,PHY390716
1494,PHY377253
1495,PHY370517
1496,PHY332204
1497,PHY414245
1498,PHY365673
1499,PHY424589
1500,PHY355455
1501,PHY353628
1502,PHY409488
1503,PHY311148
1504,PHY330224
1505,PHY392562
1506,PHY387623
1507,PHY347724
1508,PHY415370
1509,PHY380957
1510,PHY363048
1511,PHY407762
1512,PHY382193
1513,PHY347730
1514,PHY319174
1515,PHY321215
1516,PHY395983
1517,PHY408171
1518,PHY392231
1519,PHY325885
1520,PHY374556
1521,PHY429784
1522,PHY317459
1523,PHY359586
1524,PHY353549
1525,PHY411081
1526,PHY375580
1527,PHY412092
1528,PHY369040
1529,PHY414425
1530,PHY388500
1531,PHY342857
1532,PHY432797
1533,PHY401740
1534,PHY407479
1535,PHY378652
1536,PHY396978
1537,PHY413101
1538,PHY362735
1539,PHY399845
1540,PHY397202
1541,PHY425597
1542,PHY339794
1543,PHY314797
1544,PHY374881
1545,PHY382230
1546,PHY333804
1547,PHY429680
1548,PHY359619
1549,PHY342960
1550,PHY405636
1551,PHY403285
1552,PHY387126
1553,PHY411545
1554,PHY318203
1555,PHY433324
1556,PHY371324
1557,PHY362310
1558,PHY353194
1559,PHY387452
1560,PHY413081
1561,PHY359821
1562,PHY338562
1563,PHY392009
1564,PHY421898
1565,PHY348948
1566,PHY367543
1567,PHY377791
1568,PHY336419
1569,PHY325994
1570,PHY359689
1571,PHY372284
1572,PHY387949
1573,PHY339499
1574,PHY397860
1575,PHY365446
1576,PHY324091
1577,PHY321036
1578,PHY318956
1579,PHY314410
1580,PHY370768
1581,PHY398591
1582,PHY318141
1583,PHY357960
1584,PHY328284
1585,PHY349671
1586,PHY381504
1587,PHY342659
1588,PHY404727
1589,PHY370940
1590,PHY382623
1591,PHY428918
1592,PHY396580
1593,PHY361820
1594,PHY319099
1595,PHY359144
1596,PHY411911
1597,PHY335129
1598,PHY345226
1599,PHY425558
1600,PHY316610
1601,PHY313458
1602,PHY364358
1603,PHY347456
1604,PHY339994
1605,PHY339487
1606,PHY343326
1607,PHY404134
1608,PHY423459
1609,PHY369946
1610,PHY336407
1611,PHY335850
1612,PHY329882
1613,PHY431372
1614,PHY341528
1615,PHY363016
1616,PHY329324
1617,PHY402909
1618,PHY360714
1619,PHY342157
1620,PHY372049
1621,PHY385809
1622,PHY374380
1623,PHY432621
1624,PHY402550
1625,PHY325232
1626,PHY431954
1627,PHY408890
1628,PHY414450
1629,PHY317147
1630,PHY417179
1631,PHY419241
1632,PHY311527
1633,PHY318454
1634,PHY354419
1635,PHY352682
1636,PHY361878
1637,PHY369045
1638,PHY346328
1639,PHY400899
1640,PHY388950
1641,PHY341132
1642,PHY431508
1643,PHY359164
1644,PHY416289
1645,PHY320921
1646,PHY347655
1647,PHY398192
1648,PHY369042
1649,PHY424147
1650,PHY352843
1651,PHY420233
1652,PHY356422
1653,PHY355492
1654,PHY344255
1655,PHY359402
1656,PHY382175
1657,PHY426749
1658,PHY388395
1659,PHY373854
1660,PHY407179
1661,PHY315183
